id,text,current_label,reviewer_label,reviewer_confidence,reviewer_notes,evidence_terms,rationale
unc_sales_unknown_after_pilot_001,I still do not know what happens after the pilot.,uncertainty_hedging,,,,do not know; after the pilot,The buyer explicitly states uncertainty about post-pilot rollout.
unc_sales_probably_001,We can probably work something out on pricing,uncertainty_hedging,,,,probably,The rep uses explicitly hedged pricing language.
unc_sales_details_later_001,and I can send more details later once I regroup with the team.,uncertainty_hedging,,,,later; once I regroup with the team,The rep defers specifics to a later internal regrouping step.
unc_account_if_recovery_lands_001,If the recovery plan lands and the integrations are fixed,uncertainty_hedging,,,,If; are fixed,The customer explicitly conditions expansion on future execution and technical outcomes.
unc_support_confusion_seed_001,I'm confused about which invoice version is final because the portal and the email summary do not match.,uncertainty_hedging,,,,confused; do not match,The utterance expresses concrete ambiguity about the current billing state.
unc_sales_confusion_seed_001,Can you explain what this new implementation fee covers? I don't understand the difference between the two quotes.,uncertainty_hedging,,,,explain; don't understand; difference,The buyer explicitly asks for clarification because the commercial terms are unclear.
unc_support_concern_seed_001,I'm concerned the rollback plan still hasn't been confirmed. Please send the update to [EMAIL] when you have it.,uncertainty_hedging,,,,concerned; hasn't been confirmed,The speaker highlights an unconfirmed rollback plan and asks for follow-up.
neut_sales_opening_full_001,"Thanks for making time. I can walk through the pilot scope, rollout plan, and how teams usually evaluate the workflow.",neutral,,,,making time; pilot scope; rollout plan,"This opening turn is mostly procedural and does not yet signal friction, uncertainty, or a commitment outcome."
neut_sales_opening_thanks_001,Thanks for making time.,neutral,,,,Thanks,This is a conversational opener without a clear directional signal.
neut_sales_status_full_001,"For reference, the current status is that procurement is scheduled for next Tuesday and the legal review is still open.",neutral,,,,for reference; current status; scheduled for next Tuesday,The utterance is primarily a procedural status update rather than a directional judgment.
neut_sales_status_procurement_001,the current status is that procurement is scheduled for next Tuesday,neutral,,,,current status; scheduled for next Tuesday,This clause is a plain process update without clear friction or commitment strength on its own.
neut_account_status_full_001,Sharing the update from finance: the meeting starts at 09:00 CET and the agenda is attached in the renewal folder.,neutral,,,,update from finance; meeting starts; agenda is attached,This is an operational scheduling update rather than a risk or opportunity signal.
neut_account_status_intro_001,Sharing the update from finance:,neutral,,,,update from finance,This intro clause is a context-setting status marker rather than a business signal.
neut_account_status_meeting_001,the meeting starts at 09:00 CET,neutral,,,,meeting starts at 09:00 CET,This is a scheduling fact without directional review meaning on its own.
neut_account_status_agenda_001,the agenda is attached in the renewal folder.,neutral,,,,agenda is attached,This is a purely operational document-reference clause.
neut_account_review_schedule_001,with a renewal review for next Tuesday.,neutral,,,,renewal review; next Tuesday,This isolated scheduling clause is useful as a neutral procedural example.
neut_sales_acknowledgement_001,Understood.,neutral,,,,Understood,This acknowledgement alone does not carry a directional signal.
neut_sales_legal_status_001,the legal review is still open.,neutral,,,,legal review,This clause states process status without enough context to assign friction or commitment on its own.
