case_id,ticker,company_name,fiscal_period,local_path,source_url,source_type,rights_tier,operator,eval_allowed,training_allowed,commit_allowed,notes
cat_2025_q4,CAT,,2025_Q4,/Users/keith/Desktop/Signal Engine 2.0 Earning Calls/transcripts/CAT_2025_Q4/clean/transcript_clean.txt,,manual_local,unknown,,false,false,false,"Human fill required: source_url, rights_tier, and eval_allowed must be reviewed before registration."
cat_2025_q4,CAT,,2025_Q4,/Users/keith/Desktop/Signal Engine 2.0 Earning Calls/transcripts/CAT_2025_Q4/raw/transcript.pdf,,manual_local,unknown,,false,false,false,"Human fill required: source_url, rights_tier, and eval_allowed must be reviewed before registration."
cat_2025_q4,CAT,,2025_Q4,/Users/keith/Desktop/Signal Engine 2.0 Earning Calls/transcripts/CAT_2025_Q4/raw/transcript.txt,,manual_local,unknown,,false,false,false,"Human fill required: source_url, rights_tier, and eval_allowed must be reviewed before registration."
crm_2025_q4,CRM,,2025_Q4,/Users/keith/Desktop/Signal Engine 2.0 Earning Calls/transcripts/CRM_2025_Q4/clean/transcript_clean.txt,,manual_local,unknown,,false,false,false,"Human fill required: source_url, rights_tier, and eval_allowed must be reviewed before registration."
crm_2025_q4,CRM,,2025_Q4,/Users/keith/Desktop/Signal Engine 2.0 Earning Calls/transcripts/CRM_2025_Q4/raw/transcript 2.txt,,manual_local,unknown,,false,false,false,"Human fill required: source_url, rights_tier, and eval_allowed must be reviewed before registration."
crm_2025_q4,CRM,,2025_Q4,/Users/keith/Desktop/Signal Engine 2.0 Earning Calls/transcripts/CRM_2025_Q4/raw/transcript.pdf,,manual_local,unknown,,false,false,false,"Human fill required: source_url, rights_tier, and eval_allowed must be reviewed before registration."
crm_2025_q4,CRM,,2025_Q4,/Users/keith/Desktop/Signal Engine 2.0 Earning Calls/transcripts/CRM_2025_Q4/raw/transcript.txt,,manual_local,unknown,,false,false,false,"Human fill required: source_url, rights_tier, and eval_allowed must be reviewed before registration."
de_2025_q4,DE,,2025_Q4,/Users/keith/Desktop/Signal Engine 2.0 Earning Calls/transcripts/DE_2025_Q4/clean/transcript_clean.txt,,manual_local,unknown,,false,false,false,"Human fill required: source_url, rights_tier, and eval_allowed must be reviewed before registration."
de_2025_q4,DE,,2025_Q4,/Users/keith/Desktop/Signal Engine 2.0 Earning Calls/transcripts/DE_2025_Q4/raw/transcript.pdf,,manual_local,unknown,,false,false,false,"Human fill required: source_url, rights_tier, and eval_allowed must be reviewed before registration."
de_2025_q4,DE,,2025_Q4,/Users/keith/Desktop/Signal Engine 2.0 Earning Calls/transcripts/DE_2025_Q4/raw/transcript.txt,,manual_local,unknown,,false,false,false,"Human fill required: source_url, rights_tier, and eval_allowed must be reviewed before registration."
dis_2025_q4,DIS,,2025_Q4,/Users/keith/Desktop/Signal Engine 2.0 Earning Calls/transcripts/DIS_2025_Q4/clean/transcript_clean.txt,,manual_local,unknown,,false,false,false,"Human fill required: source_url, rights_tier, and eval_allowed must be reviewed before registration."
dis_2025_q4,DIS,,2025_Q4,/Users/keith/Desktop/Signal Engine 2.0 Earning Calls/transcripts/DIS_2025_Q4/raw/transcript.pdf,,manual_local,unknown,,false,false,false,"Human fill required: source_url, rights_tier, and eval_allowed must be reviewed before registration."
dis_2025_q4,DIS,,2025_Q4,/Users/keith/Desktop/Signal Engine 2.0 Earning Calls/transcripts/DIS_2025_Q4/raw/transcript.txt,,manual_local,unknown,,false,false,false,"Human fill required: source_url, rights_tier, and eval_allowed must be reviewed before registration."
fdx_2025_q4,FDX,,2025_Q4,/Users/keith/Desktop/Signal Engine 2.0 Earning Calls/transcripts/FDX_2025_Q4/clean/transcript_clean.txt,,manual_local,unknown,,false,false,false,"Human fill required: source_url, rights_tier, and eval_allowed must be reviewed before registration."
fdx_2025_q4,FDX,,2025_Q4,/Users/keith/Desktop/Signal Engine 2.0 Earning Calls/transcripts/FDX_2025_Q4/raw/transcript 2.txt,,manual_local,unknown,,false,false,false,"Human fill required: source_url, rights_tier, and eval_allowed must be reviewed before registration."
fdx_2025_q4,FDX,,2025_Q4,/Users/keith/Desktop/Signal Engine 2.0 Earning Calls/transcripts/FDX_2025_Q4/raw/transcript.pdf,,manual_local,unknown,,false,false,false,"Human fill required: source_url, rights_tier, and eval_allowed must be reviewed before registration."
fdx_2025_q4,FDX,,2025_Q4,/Users/keith/Desktop/Signal Engine 2.0 Earning Calls/transcripts/FDX_2025_Q4/raw/transcript.txt,,manual_local,unknown,,false,false,false,"Human fill required: source_url, rights_tier, and eval_allowed must be reviewed before registration."
googl_2025_q4,GOOGL,,2025_Q4,/Users/keith/Desktop/Signal Engine 2.0 Earning Calls/transcripts/GOOGL_2025_Q4/clean/transcript_clean.txt,,manual_local,unknown,,false,false,false,"Human fill required: source_url, rights_tier, and eval_allowed must be reviewed before registration."
googl_2025_q4,GOOGL,,2025_Q4,/Users/keith/Desktop/Signal Engine 2.0 Earning Calls/transcripts/GOOGL_2025_Q4/raw/transcript.pdf,,manual_local,unknown,,false,false,false,"Human fill required: source_url, rights_tier, and eval_allowed must be reviewed before registration."
googl_2025_q4,GOOGL,,2025_Q4,/Users/keith/Desktop/Signal Engine 2.0 Earning Calls/transcripts/GOOGL_2025_Q4/raw/transcript.txt,,manual_local,unknown,,false,false,false,"Human fill required: source_url, rights_tier, and eval_allowed must be reviewed before registration."
hd_2025_q4,HD,,2025_Q4,/Users/keith/Desktop/Signal Engine 2.0 Earning Calls/transcripts/HD_2025_Q4/clean/transcript_clean.txt,,manual_local,unknown,,false,false,false,"Human fill required: source_url, rights_tier, and eval_allowed must be reviewed before registration."
hd_2025_q4,HD,,2025_Q4,/Users/keith/Desktop/Signal Engine 2.0 Earning Calls/transcripts/HD_2025_Q4/raw/transcript.pdf,,manual_local,unknown,,false,false,false,"Human fill required: source_url, rights_tier, and eval_allowed must be reviewed before registration."
hd_2025_q4,HD,,2025_Q4,/Users/keith/Desktop/Signal Engine 2.0 Earning Calls/transcripts/HD_2025_Q4/raw/transcript.txt,,manual_local,unknown,,false,false,false,"Human fill required: source_url, rights_tier, and eval_allowed must be reviewed before registration."
intc_2025_q4,INTC,,2025_Q4,/Users/keith/Desktop/Signal Engine 2.0 Earning Calls/transcripts/INTC_2025_Q4/clean/transcript_clean.txt,,manual_local,unknown,,false,false,false,"Human fill required: source_url, rights_tier, and eval_allowed must be reviewed before registration."
intc_2025_q4,INTC,,2025_Q4,/Users/keith/Desktop/Signal Engine 2.0 Earning Calls/transcripts/INTC_2025_Q4/raw/transcript.txt,,manual_local,unknown,,false,false,false,"Human fill required: source_url, rights_tier, and eval_allowed must be reviewed before registration."
jnj_2025_q4,JNJ,,2025_Q4,/Users/keith/Desktop/Signal Engine 2.0 Earning Calls/transcripts/JNJ_2025_Q4/clean/transcript_clean.txt,,manual_local,unknown,,false,false,false,"Human fill required: source_url, rights_tier, and eval_allowed must be reviewed before registration."
jnj_2025_q4,JNJ,,2025_Q4,/Users/keith/Desktop/Signal Engine 2.0 Earning Calls/transcripts/JNJ_2025_Q4/raw/transcript.pdf,,manual_local,unknown,,false,false,false,"Human fill required: source_url, rights_tier, and eval_allowed must be reviewed before registration."
jnj_2025_q4,JNJ,,2025_Q4,/Users/keith/Desktop/Signal Engine 2.0 Earning Calls/transcripts/JNJ_2025_Q4/raw/transcript.txt,,manual_local,unknown,,false,false,false,"Human fill required: source_url, rights_tier, and eval_allowed must be reviewed before registration."
jpm_2025_q4,JPM,,2025_Q4,/Users/keith/Desktop/Signal Engine 2.0 Earning Calls/transcripts/JPM_2025_Q4/clean/transcript_clean.txt,,manual_local,unknown,,false,false,false,"Human fill required: source_url, rights_tier, and eval_allowed must be reviewed before registration."
jpm_2025_q4,JPM,,2025_Q4,/Users/keith/Desktop/Signal Engine 2.0 Earning Calls/transcripts/JPM_2025_Q4/raw/transcript.txt,,manual_local,unknown,,false,false,false,"Human fill required: source_url, rights_tier, and eval_allowed must be reviewed before registration."
lly_2025_q4,LLY,,2025_Q4,/Users/keith/Desktop/Signal Engine 2.0 Earning Calls/transcripts/LLY_2025_Q4/clean/transcript_clean.txt,,manual_local,unknown,,false,false,false,"Human fill required: source_url, rights_tier, and eval_allowed must be reviewed before registration."
lly_2025_q4,LLY,,2025_Q4,/Users/keith/Desktop/Signal Engine 2.0 Earning Calls/transcripts/LLY_2025_Q4/raw/transcript.txt,,manual_local,unknown,,false,false,false,"Human fill required: source_url, rights_tier, and eval_allowed must be reviewed before registration."
meta_2025_q4,META,,2025_Q4,/Users/keith/Desktop/Signal Engine 2.0 Earning Calls/transcripts/META_2025_Q4/clean/transcript_clean.txt,,manual_local,unknown,,false,false,false,"Human fill required: source_url, rights_tier, and eval_allowed must be reviewed before registration."
meta_2025_q4,META,,2025_Q4,/Users/keith/Desktop/Signal Engine 2.0 Earning Calls/transcripts/META_2025_Q4/raw/transcript 2.txt,,manual_local,unknown,,false,false,false,"Human fill required: source_url, rights_tier, and eval_allowed must be reviewed before registration."
meta_2025_q4,META,,2025_Q4,/Users/keith/Desktop/Signal Engine 2.0 Earning Calls/transcripts/META_2025_Q4/raw/transcript.pdf,,manual_local,unknown,,false,false,false,"Human fill required: source_url, rights_tier, and eval_allowed must be reviewed before registration."
meta_2025_q4,META,,2025_Q4,/Users/keith/Desktop/Signal Engine 2.0 Earning Calls/transcripts/META_2025_Q4/raw/transcript.txt,,manual_local,unknown,,false,false,false,"Human fill required: source_url, rights_tier, and eval_allowed must be reviewed before registration."
msft_2026_q1,MSFT,,2026_Q1,/Users/keith/Desktop/Signal Engine 2.0 Earning Calls/transcripts/MSFT_2026_Q1/clean/transcript_clean.txt,,manual_local,unknown,,false,false,false,"Human fill required: source_url, rights_tier, and eval_allowed must be reviewed before registration."
msft_2026_q1,MSFT,,2026_Q1,/Users/keith/Desktop/Signal Engine 2.0 Earning Calls/transcripts/MSFT_2026_Q1/raw/transcript.txt,,manual_local,unknown,,false,false,false,"Human fill required: source_url, rights_tier, and eval_allowed must be reviewed before registration."
nke_2025_q4,NKE,,2025_Q4,/Users/keith/Desktop/Signal Engine 2.0 Earning Calls/transcripts/NKE_2025_Q4/clean/transcript_clean.txt,,manual_local,unknown,,false,false,false,"Human fill required: source_url, rights_tier, and eval_allowed must be reviewed before registration."
nke_2025_q4,NKE,,2025_Q4,/Users/keith/Desktop/Signal Engine 2.0 Earning Calls/transcripts/NKE_2025_Q4/raw/transcript 2.txt,,manual_local,unknown,,false,false,false,"Human fill required: source_url, rights_tier, and eval_allowed must be reviewed before registration."
nke_2025_q4,NKE,,2025_Q4,/Users/keith/Desktop/Signal Engine 2.0 Earning Calls/transcripts/NKE_2025_Q4/raw/transcript.pdf,,manual_local,unknown,,false,false,false,"Human fill required: source_url, rights_tier, and eval_allowed must be reviewed before registration."
nke_2025_q4,NKE,,2025_Q4,/Users/keith/Desktop/Signal Engine 2.0 Earning Calls/transcripts/NKE_2025_Q4/raw/transcript.txt,,manual_local,unknown,,false,false,false,"Human fill required: source_url, rights_tier, and eval_allowed must be reviewed before registration."
now_2025_q4,NOW,,2025_Q4,/Users/keith/Desktop/Signal Engine 2.0 Earning Calls/transcripts/NOW_2025_Q4/clean/transcript_clean.txt,,manual_local,unknown,,false,false,false,"Human fill required: source_url, rights_tier, and eval_allowed must be reviewed before registration."
now_2025_q4,NOW,,2025_Q4,/Users/keith/Desktop/Signal Engine 2.0 Earning Calls/transcripts/NOW_2025_Q4/raw/transcript.txt,,manual_local,unknown,,false,false,false,"Human fill required: source_url, rights_tier, and eval_allowed must be reviewed before registration."
nvda_2026_q4,NVDA,,2026_Q4,/Users/keith/Desktop/Signal Engine 2.0 Earning Calls/transcripts/NVDA_2026_Q4/clean/transcript_clean.txt,,manual_local,unknown,,false,false,false,"Human fill required: source_url, rights_tier, and eval_allowed must be reviewed before registration."
nvda_2026_q4,NVDA,,2026_Q4,/Users/keith/Desktop/Signal Engine 2.0 Earning Calls/transcripts/NVDA_2026_Q4/raw/transcript.txt,,manual_local,unknown,,false,false,false,"Human fill required: source_url, rights_tier, and eval_allowed must be reviewed before registration."
orcl_2026_q1,ORCL,,2026_Q1,/Users/keith/Desktop/Signal Engine 2.0 Earning Calls/transcripts/ORCL_2026_Q1/clean/transcript_clean.txt,,manual_local,unknown,,false,false,false,"Human fill required: source_url, rights_tier, and eval_allowed must be reviewed before registration."
orcl_2026_q1,ORCL,,2026_Q1,/Users/keith/Desktop/Signal Engine 2.0 Earning Calls/transcripts/ORCL_2026_Q1/raw/transcript.txt,,manual_local,unknown,,false,false,false,"Human fill required: source_url, rights_tier, and eval_allowed must be reviewed before registration."
pfe_2025_q4,PFE,,2025_Q4,/Users/keith/Desktop/Signal Engine 2.0 Earning Calls/transcripts/PFE_2025_Q4/clean/transcript_clean.txt,,manual_local,unknown,,false,false,false,"Human fill required: source_url, rights_tier, and eval_allowed must be reviewed before registration."
pfe_2025_q4,PFE,,2025_Q4,/Users/keith/Desktop/Signal Engine 2.0 Earning Calls/transcripts/PFE_2025_Q4/raw/transcript.pdf,,manual_local,unknown,,false,false,false,"Human fill required: source_url, rights_tier, and eval_allowed must be reviewed before registration."
pfe_2025_q4,PFE,,2025_Q4,/Users/keith/Desktop/Signal Engine 2.0 Earning Calls/transcripts/PFE_2025_Q4/raw/transcript.txt,,manual_local,unknown,,false,false,false,"Human fill required: source_url, rights_tier, and eval_allowed must be reviewed before registration."
pypl_2025_q4,PYPL,,2025_Q4,/Users/keith/Desktop/Signal Engine 2.0 Earning Calls/transcripts/PYPL_2025_Q4/clean/transcript_clean.txt,,manual_local,unknown,,false,false,false,"Human fill required: source_url, rights_tier, and eval_allowed must be reviewed before registration."
pypl_2025_q4,PYPL,,2025_Q4,/Users/keith/Desktop/Signal Engine 2.0 Earning Calls/transcripts/PYPL_2025_Q4/raw/transcript.pdf,,manual_local,unknown,,false,false,false,"Human fill required: source_url, rights_tier, and eval_allowed must be reviewed before registration."
pypl_2025_q4,PYPL,,2025_Q4,/Users/keith/Desktop/Signal Engine 2.0 Earning Calls/transcripts/PYPL_2025_Q4/raw/transcript.txt,,manual_local,unknown,,false,false,false,"Human fill required: source_url, rights_tier, and eval_allowed must be reviewed before registration."
sbux_2025_q1,SBUX,,2025_Q1,/Users/keith/Desktop/Signal Engine 2.0 Earning Calls/transcripts/SBUX_2025_Q1/clean/transcript_clean.txt,,manual_local,unknown,,false,false,false,"Human fill required: source_url, rights_tier, and eval_allowed must be reviewed before registration."
sbux_2025_q1,SBUX,,2025_Q1,/Users/keith/Desktop/Signal Engine 2.0 Earning Calls/transcripts/SBUX_2025_Q1/raw/transcript 2.txt,,manual_local,unknown,,false,false,false,"Human fill required: source_url, rights_tier, and eval_allowed must be reviewed before registration."
sbux_2025_q1,SBUX,,2025_Q1,/Users/keith/Desktop/Signal Engine 2.0 Earning Calls/transcripts/SBUX_2025_Q1/raw/transcript.pdf,,manual_local,unknown,,false,false,false,"Human fill required: source_url, rights_tier, and eval_allowed must be reviewed before registration."
sbux_2025_q1,SBUX,,2025_Q1,/Users/keith/Desktop/Signal Engine 2.0 Earning Calls/transcripts/SBUX_2025_Q1/raw/transcript.txt,,manual_local,unknown,,false,false,false,"Human fill required: source_url, rights_tier, and eval_allowed must be reviewed before registration."
snow_2025_q4,SNOW,,2025_Q4,/Users/keith/Desktop/Signal Engine 2.0 Earning Calls/transcripts/SNOW_2025_Q4/clean/transcript_clean.txt,,manual_local,unknown,,false,false,false,"Human fill required: source_url, rights_tier, and eval_allowed must be reviewed before registration."
snow_2025_q4,SNOW,,2025_Q4,/Users/keith/Desktop/Signal Engine 2.0 Earning Calls/transcripts/SNOW_2025_Q4/raw/transcript 2.txt,,manual_local,unknown,,false,false,false,"Human fill required: source_url, rights_tier, and eval_allowed must be reviewed before registration."
snow_2025_q4,SNOW,,2025_Q4,/Users/keith/Desktop/Signal Engine 2.0 Earning Calls/transcripts/SNOW_2025_Q4/raw/transcript.pdf,,manual_local,unknown,,false,false,false,"Human fill required: source_url, rights_tier, and eval_allowed must be reviewed before registration."
snow_2025_q4,SNOW,,2025_Q4,/Users/keith/Desktop/Signal Engine 2.0 Earning Calls/transcripts/SNOW_2025_Q4/raw/transcript.txt,,manual_local,unknown,,false,false,false,"Human fill required: source_url, rights_tier, and eval_allowed must be reviewed before registration."
tgt_2025_q4,TGT,,2025_Q4,/Users/keith/Desktop/Signal Engine 2.0 Earning Calls/transcripts/TGT_2025_Q4/clean/transcript_clean.txt,,manual_local,unknown,,false,false,false,"Human fill required: source_url, rights_tier, and eval_allowed must be reviewed before registration."
tgt_2025_q4,TGT,,2025_Q4,/Users/keith/Desktop/Signal Engine 2.0 Earning Calls/transcripts/TGT_2025_Q4/raw/transcript.pdf,,manual_local,unknown,,false,false,false,"Human fill required: source_url, rights_tier, and eval_allowed must be reviewed before registration."
tgt_2025_q4,TGT,,2025_Q4,/Users/keith/Desktop/Signal Engine 2.0 Earning Calls/transcripts/TGT_2025_Q4/raw/transcript.txt,,manual_local,unknown,,false,false,false,"Human fill required: source_url, rights_tier, and eval_allowed must be reviewed before registration."
tsla_2025_q4,TSLA,,2025_Q4,/Users/keith/Desktop/Signal Engine 2.0 Earning Calls/transcripts/TSLA_2025_Q4/clean/transcript_clean.txt,,manual_local,unknown,,false,false,false,"Human fill required: source_url, rights_tier, and eval_allowed must be reviewed before registration."
tsla_2025_q4,TSLA,,2025_Q4,/Users/keith/Desktop/Signal Engine 2.0 Earning Calls/transcripts/TSLA_2025_Q4/raw/transcript.txt,,manual_local,unknown,,false,false,false,"Human fill required: source_url, rights_tier, and eval_allowed must be reviewed before registration."
ups_2025_q4,UPS,,2025_Q4,/Users/keith/Desktop/Signal Engine 2.0 Earning Calls/transcripts/UPS_2025_Q4/clean/transcript_clean.txt,,manual_local,unknown,,false,false,false,"Human fill required: source_url, rights_tier, and eval_allowed must be reviewed before registration."
ups_2025_q4,UPS,,2025_Q4,/Users/keith/Desktop/Signal Engine 2.0 Earning Calls/transcripts/UPS_2025_Q4/raw/transcript.txt,,manual_local,unknown,,false,false,false,"Human fill required: source_url, rights_tier, and eval_allowed must be reviewed before registration."
wmt_2025_q4,WMT,,2025_Q4,/Users/keith/Desktop/Signal Engine 2.0 Earning Calls/transcripts/WMT_2025_Q4/clean/transcript_clean.txt,,manual_local,unknown,,false,false,false,"Human fill required: source_url, rights_tier, and eval_allowed must be reviewed before registration."
wmt_2025_q4,WMT,,2025_Q4,/Users/keith/Desktop/Signal Engine 2.0 Earning Calls/transcripts/WMT_2025_Q4/raw/transcript.pdf,,manual_local,unknown,,false,false,false,"Human fill required: source_url, rights_tier, and eval_allowed must be reviewed before registration."
wmt_2025_q4,WMT,,2025_Q4,/Users/keith/Desktop/Signal Engine 2.0 Earning Calls/transcripts/WMT_2025_Q4/raw/transcript.txt,,manual_local,unknown,,false,false,false,"Human fill required: source_url, rights_tier, and eval_allowed must be reviewed before registration."
transcript_quality_audit,,,,/Users/keith/Desktop/Signal Engine 2.0 Earning Calls/transcripts/transcript_quality_audit.md,,manual_local,unknown,,false,false,false,"Human fill required: source_url, rights_tier, and eval_allowed must be reviewed before registration."
