rank,case_id,ticker,company_name,fiscal_period,local_path,source_sha256,file_size,extension,candidate_reason,source_url,rights_tier,eval_allowed,training_allowed,commit_allowed,manual_action,registration_ready
16,nvda_2026_q4,NVDA,,2026_Q4,/Users/keith/Desktop/Signal Engine 2.0 Earning Calls/transcripts/NVDA_2026_Q4/raw/transcript.txt,sha256:3bda0f56feacc699cabeaec2de4f04cf76bde5c91bd487e63e043115f0be4002,40741,.txt,raw transcript file; .txt file; plausible full-transcript size; source_url missing; rights_tier=unknown,,unknown,false,false,false,Fill source_url and explicit rights_tier; leave training_allowed=false unless rights explicitly permit.,false
17,aapl_2026_q1,AAPL,,2026_Q1,/Users/keith/Desktop/Signal Engine 2.0 Earning Calls/transcripts/AAPL_2026_Q1/raw/transcript.txt,sha256:c81e2a120a7e41aff0253430818806dbc9d1877af2b1117e63ef5c701ea8c696,48364,.txt,raw transcript file; .txt file; plausible full-transcript size; source_url missing; rights_tier=unknown,,unknown,false,false,false,Fill source_url and explicit rights_tier; leave training_allowed=false unless rights explicitly permit.,false
18,msft_2026_q1,MSFT,,2026_Q1,/Users/keith/Desktop/Signal Engine 2.0 Earning Calls/transcripts/MSFT_2026_Q1/raw/transcript.txt,sha256:f725bd96b771817b83cfeede5bd299af528163a2bbd47ab3a96d972ebe95977b,52901,.txt,raw transcript file; .txt file; plausible full-transcript size; source_url missing; rights_tier=unknown,,unknown,false,false,false,Fill source_url and explicit rights_tier; leave training_allowed=false unless rights explicitly permit.,false
19,adbe_2025_q4,ADBE,,2025_Q4,/Users/keith/Desktop/Signal Engine 2.0 Earning Calls/transcripts/ADBE_2025_Q4/raw/transcript.txt,sha256:f9cf2f4c2e3f88734b1c342dcdaabff45a092f03240d316fc71496f9d38186e9,74578,.txt,raw transcript file; .txt file; plausible full-transcript size; source_url missing; rights_tier=unknown,,unknown,false,false,false,Fill source_url and explicit rights_tier; leave training_allowed=false unless rights explicitly permit.,false
20,amd_2025_q4,AMD,,2025_Q4,/Users/keith/Desktop/Signal Engine 2.0 Earning Calls/transcripts/AMD_2025_Q4/raw/transcript.txt,sha256:e28ca92c533ff2eb042cb2cb45661c7dd8c08730e6b40ec48bf9daf4bfa4d771,48833,.txt,raw transcript file; .txt file; plausible full-transcript size; source_url missing; rights_tier=unknown,,unknown,false,false,false,Fill source_url and explicit rights_tier; leave training_allowed=false unless rights explicitly permit.,false
21,amzn_2025_q4,AMZN,,2025_Q4,/Users/keith/Desktop/Signal Engine 2.0 Earning Calls/transcripts/AMZN_2025_Q4/raw/transcript.txt,sha256:ea5a573989bec94dacd82a317c1c7ff57014788767219d3880b4c72a326dc858,53826,.txt,raw transcript file; .txt file; plausible full-transcript size; source_url missing; rights_tier=unknown,,unknown,false,false,false,Fill source_url and explicit rights_tier; leave training_allowed=false unless rights explicitly permit.,false
22,fdx_2025_q4,FDX,,2025_Q4,/Users/keith/Desktop/Signal Engine 2.0 Earning Calls/transcripts/FDX_2025_Q4/raw/transcript 2.txt,sha256:56ae464355874c25e83229266c74590b61d4b42c0ba93f17c247f792aece0350,57456,.txt,raw transcript file; .txt file; plausible full-transcript size; source_url missing; rights_tier=unknown,,unknown,false,false,false,Fill source_url and explicit rights_tier; leave training_allowed=false unless rights explicitly permit.,false
23,googl_2025_q4,GOOGL,,2025_Q4,/Users/keith/Desktop/Signal Engine 2.0 Earning Calls/transcripts/GOOGL_2025_Q4/raw/transcript.txt,sha256:5cc20ff82cd106b878d9658caa3095b0a25ca258a488a71189f51c136be044dc,60869,.txt,raw transcript file; .txt file; plausible full-transcript size; source_url missing; rights_tier=unknown,,unknown,false,false,false,Fill source_url and explicit rights_tier; leave training_allowed=false unless rights explicitly permit.,false
24,intc_2025_q4,INTC,,2025_Q4,/Users/keith/Desktop/Signal Engine 2.0 Earning Calls/transcripts/INTC_2025_Q4/raw/transcript.txt,sha256:2fd839130a0e4ce38bf4e998e92bcd8991dc1648acf29c469f4383dc3ca9245a,52011,.txt,raw transcript file; .txt file; plausible full-transcript size; source_url missing; rights_tier=unknown,,unknown,false,false,false,Fill source_url and explicit rights_tier; leave training_allowed=false unless rights explicitly permit.,false
25,meta_2025_q4,META,,2025_Q4,/Users/keith/Desktop/Signal Engine 2.0 Earning Calls/transcripts/META_2025_Q4/raw/transcript 2.txt,sha256:c7b8699ef5ebde8ebe6858c6b0f7f3a475f19fec48f737ee5b09fdd29ddd3b33,58888,.txt,raw transcript file; .txt file; plausible full-transcript size; source_url missing; rights_tier=unknown,,unknown,false,false,false,Fill source_url and explicit rights_tier; leave training_allowed=false unless rights explicitly permit.,false
26,pypl_2025_q4,PYPL,,2025_Q4,/Users/keith/Desktop/Signal Engine 2.0 Earning Calls/transcripts/PYPL_2025_Q4/raw/transcript.txt,sha256:d260e1638bce0d075d7b4dd53eb1728a9f2d1997f18c8d77e7b57f636728403a,74058,.txt,raw transcript file; .txt file; plausible full-transcript size; source_url missing; rights_tier=unknown,,unknown,false,false,false,Fill source_url and explicit rights_tier; leave training_allowed=false unless rights explicitly permit.,false
27,snow_2025_q4,SNOW,,2025_Q4,/Users/keith/Desktop/Signal Engine 2.0 Earning Calls/transcripts/SNOW_2025_Q4/raw/transcript 2.txt,sha256:9183197a51f82eae08ff0d9caf8ebe962a72b1e08a46d72d600f8e202ea4a601,80842,.txt,raw transcript file; .txt file; plausible full-transcript size; source_url missing; rights_tier=unknown,,unknown,false,false,false,Fill source_url and explicit rights_tier; leave training_allowed=false unless rights explicitly permit.,false
28,tgt_2025_q4,TGT,,2025_Q4,/Users/keith/Desktop/Signal Engine 2.0 Earning Calls/transcripts/TGT_2025_Q4/raw/transcript.txt,sha256:b7ec02d67d72394da6a467d3bbf713d830df0395bda262c41e08ac3ab13223c2,126173,.txt,raw transcript file; .txt file; plausible full-transcript size; source_url missing; rights_tier=unknown,,unknown,false,false,false,Fill source_url and explicit rights_tier; leave training_allowed=false unless rights explicitly permit.,false
29,tsla_2025_q4,TSLA,,2025_Q4,/Users/keith/Desktop/Signal Engine 2.0 Earning Calls/transcripts/TSLA_2025_Q4/raw/transcript.txt,sha256:e56123e9360426c088a94c4cdcda1e95417778da3b1dca2824653df21f746a97,45807,.txt,raw transcript file; .txt file; plausible full-transcript size; source_url missing; rights_tier=unknown,,unknown,false,false,false,Fill source_url and explicit rights_tier; leave training_allowed=false unless rights explicitly permit.,false
30,ups_2025_q4,UPS,,2025_Q4,/Users/keith/Desktop/Signal Engine 2.0 Earning Calls/transcripts/UPS_2025_Q4/raw/transcript.txt,sha256:7829ba74f033ba0190f576f83481a55735e8dacd20fe573079c6809ef3dd43f6,58465,.txt,raw transcript file; .txt file; plausible full-transcript size; source_url missing; rights_tier=unknown,,unknown,false,false,false,Fill source_url and explicit rights_tier; leave training_allowed=false unless rights explicitly permit.,false
