feature_id,feature_family,feature_name,description,source_signal,label_targets,required_inputs,output_object,training_value,rights_risk,priority,status
"uncertainty_business_risk_detector","uncertainty","Business risk uncertainty detector","Detect call-specific demand margin supply macro or execution uncertainty","Structured extraction research","uncertainty","sectioned transcript topic metadata speaker roles","uncertainty_candidate","Supports classifier training after review","medium_local_text","high","planned"
"reassurance_confidence_phrase_detector","reassurance","Reassurance confidence phrase detector","Detect concrete management reassurance without mistaking generic optimism for evidence","Evidence-backed extraction pattern","reassurance neutral/no_signal","speaker role section evidence spans","reassurance_candidate","Improves reassurance label quality","medium_local_text","high","planned"
"reassurance_specificity_score","reassurance","Reassurance specificity score","Score whether reassurance is supported by concrete drivers metrics or actions","Evaluator criteria pattern","reassurance","reassurance candidates topic and metric metadata","reassurance_specificity_object","Separates generic optimism from reviewable reassurance","low_metadata_only","medium","candidate"
"answer_shift_prepared_vs_qa_detector","answer_shift","Prepared versus Q&A answer shift detector","Compare prepared remarks framing with Q&A answer framing for topic shifts","Structured report and reviewer pattern","answer_shift","prepared section topics Q&A topics evidence objects","answer_shift_candidate","Supports answer-shift review cases","medium_local_text","medium","planned"
"answer_evasiveness_topic_gap_score","answer_shift","Answer evasiveness topic gap score","Measure gap between analyst question topic and management answer topic","Human adjudication workflow","answer_shift analyst_pressure","Q&A pair topic embeddings or lexical features","topic_gap_score","Supports prioritizing possible evasive answers","medium_local_text","medium","candidate"
"evidence_span_completeness_score","evidence_quality","Evidence span completeness score","Score whether evidence includes enough surrounding context to support the candidate","Man logging and validation pattern","all_labels","candidate evidence_start evidence_end section metadata","evidence_quality_score","Improves citation quality evaluation","low_metadata_only","high","planned"
"speaker_role_confidence_score","evidence_quality","Speaker role confidence score","Score confidence that speaker is analyst management operator or unknown","Artifact contracts and validation","all_labels","speaker turns role parser metadata","speaker_role_confidence","Reduces speaker attribution errors","low_metadata_only","high","planned"
"section_classifier","evidence_quality","Transcript section classifier","Classify prepared remarks Q&A safe harbor operator and unknown sections","Deterministic implementation pattern","all_labels","transcript structure local-only text or spans","section_object","Required foundation for section-aware labels","medium_local_text","high","planned"
"qa_pair_extractor","evidence_quality","Q&A pair extractor","Pair analyst questions with management answers and preserve ordering","Research workflow artifact pattern","analyst_pressure answer_shift management_hedging","speaker turns section metadata","qa_pair_object","Foundation for interaction labels","medium_local_text","high","planned"
"false_positive_safe_harbor_detector","evidence_quality","False-positive safe-harbor detector","Tag boilerplate legal caution that should not become uncertainty evidence","False-positive taxonomy","uncertainty neutral/no_signal","safe harbor section markers evidence spans","false_positive_tag","Improves precision and reviewer clarity","medium_local_text","high","planned"
"duplicate_candidate_collapse","evidence_quality","Duplicate candidate collapse","Collapse repeated mentions of same event or guidance statement into one candidate","Deduplication pattern","all_labels","candidate objects topic time evidence overlap","deduplicated_candidate_set","Improves evaluation fairness and review efficiency","low_metadata_only","high","planned"
"retrieval_evidence_object_builder","retrieval","Retrieval evidence object builder","Build retrieval units from reviewed evidence objects rather than raw transcript chunks","RAG and evidence-grounding pattern","all_labels","evidence objects provenance metadata","retrieval_evidence_object","Supports retrieval benchmarks after evidence exists","low_metadata_only","high","planned"
"event_aligned_chunk_builder","retrieval","Event-aligned chunk builder","Create chunks aligned to guidance events Q&A pairs and speaker turns","RAG-IT and orchestration pattern","all_labels","sectioned transcript event metadata","event_aligned_chunk","Improves retrieval precision for review tasks","medium_local_text","medium","planned"
"semantic_chunk_builder","retrieval","Semantic chunk builder","Create fallback semantic chunks with provenance and source boundaries","Retrieval architecture pattern","all_labels","rights-cleared or local-only transcript text","semantic_chunk","Supports later embedding and reranking tests","medium_local_text","low","blocked_until_data"
"retrieval_citation_hit_rate","retrieval","Retrieval citation hit rate","Measure whether retrieval returns the gold evidence object in top-k results","Structured evaluation pattern","all_labels","gold evidence objects retrieval results","retrieval_metric","Supports recall@k and MRR evaluation","low_metadata_only","medium","blocked_until_data"
"retail_baseline_timer","evaluation","Retail baseline timer","Capture time to first useful summary for retail-alone and tool-assisted workflows","Retail baseline evaluation","all_labels","review session metadata timestamps rubric","baseline_timing_record","Measures workflow value before alpha claims","low_metadata_only","high","planned"
"reviewer_disagreement_flag","evaluation","Reviewer disagreement flag","Flag labels with reviewer disagreement or low confidence for adjudication","Human review gate pattern","all_labels","reviewer decisions confidence notes","disagreement_object","Supports gold-label quality and agreement checks","low_metadata_only","high","planned"
"evaluation_readiness_gate","evaluation","Evaluation readiness gate","Check label counts rights status source quality leakage and baseline availability before claims","Deployment gate pattern","all_labels","label counts rights registry audit outputs","readiness_gate_result","Prevents unsupported statistical claims","low_metadata_only","high","planned"
"false_positive_audit_report","evaluation","False-positive audit report","Summarize false-positive categories by signal type and source of error","Evaluator and monitoring pattern","all_labels","reviewed candidates false_positive_tags","false_positive_report","Guides deterministic rule improvement","low_metadata_only","high","planned"
"post_call_market_reaction_metadata_join","event_study","Post-call market reaction metadata join","Join later market reaction windows as exploratory metadata only","Quant evaluation caution","guidance_revision analyst_pressure uncertainty","case metadata timestamps market data metadata","market_reaction_metadata","Supports later exploratory event-study packaging","metadata_vendor_or_public","low","later_optional"
"market_reaction_window_metadata","event_study","Market reaction window metadata","Record event window definitions timezone and benchmark assumptions","Leakage prevention and methodology gates","all_labels","call timestamp market calendar metadata","event_window_object","Supports valid later event-study design","metadata_vendor_or_public","low","later_optional"
"audio_pause_metadata_flag","audio_optional","Audio pause metadata flag","Record whether local audio metadata can support pause review for flagged moments","Selective multimodal audit","analyst_pressure answer_shift management_hedging","audio availability timestamps source rights","audio_pause_flag","Adds optional audit signal without replacing transcripts","license_required","low","later_optional"
"audio_speech_rate_metadata_flag","audio_optional","Audio speech-rate metadata flag","Record availability of speech-rate metadata for flagged speaker turns","Selective multimodal audit","uncertainty reassurance management_hedging","audio metadata diarization source rights","audio_speech_rate_flag","Supports later delivery-context audits","license_required","low","later_optional"
"video_keyframe_window_flag","video_optional","Video keyframe window flag","Record whether rights-safe keyframe windows exist for flagged moments","Selective multimodal audit","analyst_pressure answer_shift","video availability timestamps source rights","video_keyframe_flag","Supports later visual audit only when permitted","license_required","low","later_optional"
"video_speaker_visibility_flag","video_optional","Video speaker visibility flag","Record whether the relevant speaker is visible in an allowed video window","Selective multimodal audit","analyst_pressure management_hedging","video metadata speaker timestamps rights registry","speaker_visibility_flag","Avoids overclaiming from unavailable video context","license_required","low","later_optional"
