candidate_id,case_id,ticker,fiscal_period,existing_suggested_label,weak_model_suggested_label,weak_model_confidence,disagreement_flag,review_priority,packet_file,your_label,rationale,done
sha256:4d2fb5ccfbd59443bb87cabd9,hd_2024_q1,HD,2024 Q1,neutral/no_signal,neutral/no_signal,0.25,false,low,data/review/packets/first100_batch_005_neutral_suppression.md,,,
sha256:e912e1dd954c3eecdc8070560,hd_2024_q2,HD,2024 Q2,neutral/no_signal,neutral/no_signal,0.25,false,low,data/review/packets/first100_batch_005_neutral_suppression.md,,,
sha256:60c9067d074e5354c926d0336,hd_2024_q3,HD,2024 Q3,neutral/no_signal,neutral/no_signal,0.25,false,low,data/review/packets/first100_batch_005_neutral_suppression.md,,,
sha256:315e8ccec9dd3b5e54f6931a3,hd_2025_q4,HD,2025 Q4,neutral/no_signal,neutral/no_signal,0.25,false,low,data/review/packets/first100_batch_005_neutral_suppression.md,,,
sha256:66c5ca3a99ac73739bd162c9f,jpm_2024_q2,JPM,2024 Q2,neutral/no_signal,neutral/no_signal,0.25,false,low,data/review/packets/first100_batch_005_neutral_suppression.md,,,
sha256:f49a188e3ddb0c3c6641c744c,jpm_2024_q3,JPM,2024 Q3,neutral/no_signal,neutral/no_signal,0.25,false,low,data/review/packets/first100_batch_005_neutral_suppression.md,,,
sha256:87141c2fa360af7c281d7b09b,jpm_2024_q4,JPM,2024 Q4,neutral/no_signal,neutral/no_signal,0.25,false,low,data/review/packets/first100_batch_005_neutral_suppression.md,,,
sha256:aad0d74e8b017131b6460b88e,jpm_2025_q1,JPM,2025 Q1,neutral/no_signal,neutral/no_signal,0.25,false,low,data/review/packets/first100_batch_005_neutral_suppression.md,,,
sha256:348f05f7ac1dc91bd7f44cf0c,jpm_2025_q2,JPM,2025 Q2,neutral/no_signal,neutral/no_signal,0.25,false,low,data/review/packets/first100_batch_005_neutral_suppression.md,,,
sha256:66dbbcd4be3f5af601ff6715b,jpm_2025_q3,JPM,2025 Q3,neutral/no_signal,neutral/no_signal,0.25,false,low,data/review/packets/first100_batch_005_neutral_suppression.md,,,
sha256:7aee10e7d97ab94acd051501c,jpm_2025_q4,JPM,2025 Q4,neutral/no_signal,neutral/no_signal,0.25,false,low,data/review/packets/first100_batch_005_neutral_suppression.md,,,
sha256:188c91e13b7897e60f20d7345,lyb_2025_q1,LYB,2025 Q1,neutral/no_signal,neutral/no_signal,0.25,false,low,data/review/packets/first100_batch_005_neutral_suppression.md,,,
sha256:be1ed6081a3d8f033dda116d9,lyb_2025_q2,LYB,2025 Q2,neutral/no_signal,neutral/no_signal,0.25,false,low,data/review/packets/first100_batch_005_neutral_suppression.md,,,
sha256:8ca6e2b6ec8f71eb972beb74c,lyb_2025_q3,LYB,2025 Q3,neutral/no_signal,neutral/no_signal,0.25,false,low,data/review/packets/first100_batch_005_neutral_suppression.md,,,
sha256:6c9065117221631ea1d5b6722,lyb_2025_q4,LYB,2025 Q4,neutral/no_signal,neutral/no_signal,0.25,false,low,data/review/packets/first100_batch_005_neutral_suppression.md,,,
sha256:0e157e75d37cd1965284cb6b0,bac_2025_q4,BAC,2025 Q4,neutral/no_signal,neutral/no_signal,0.25,false,low,data/review/packets/first100_batch_005_neutral_suppression.md,,,
sha256:5386f6b1078f96593caa35106,bac_2025_q4,BAC,2025 Q4,neutral/no_signal,neutral/no_signal,0.25,false,low,data/review/packets/first100_batch_005_neutral_suppression.md,,,
sha256:f06cdd33818684641f5bd7722,cat_2025_q1,CAT,2025 Q1,neutral/no_signal,neutral/no_signal,0.25,false,low,data/review/packets/first100_batch_005_neutral_suppression.md,,,
sha256:c6e3264956fbf517a253a6ab7,cat_2025_q1,CAT,2025 Q1,neutral/no_signal,neutral/no_signal,0.25,false,low,data/review/packets/first100_batch_005_neutral_suppression.md,,,
sha256:ee306f506da9ad07468383f3f,cat_2025_q2,CAT,2025 Q2,neutral/no_signal,neutral/no_signal,0.25,false,low,data/review/packets/first100_batch_005_neutral_suppression.md,,,
sha256:fc7c50b9e7f2619e5ed190127,cat_2025_q2,CAT,2025 Q2,neutral/no_signal,neutral/no_signal,0.25,false,low,data/review/packets/first100_batch_005_neutral_suppression.md,,,
sha256:01fcda77c9c8f61c7c139497b,cat_2025_q3,CAT,2025 Q3,neutral/no_signal,neutral/no_signal,0.25,false,low,data/review/packets/first100_batch_005_neutral_suppression.md,,,
sha256:775341bc62b31f3b42e6c0dc2,cat_2025_q3,CAT,2025 Q3,neutral/no_signal,neutral/no_signal,0.25,false,low,data/review/packets/first100_batch_005_neutral_suppression.md,,,
sha256:9e88e814779f729aed9eafa5c,cat_2025_q3,CAT,2025 Q3,neutral/no_signal,neutral/no_signal,0.25,false,low,data/review/packets/first100_batch_005_neutral_suppression.md,,,
sha256:676919e56fd3eb94a1f34fc81,cat_2025_q4,CAT,2025 Q4,neutral/no_signal,neutral/no_signal,0.25,false,low,data/review/packets/first100_batch_005_neutral_suppression.md,,,
sha256:add96249731877646ec1135ef,cat_2025_q4,CAT,2025 Q4,neutral/no_signal,neutral/no_signal,0.25,false,low,data/review/packets/first100_batch_005_neutral_suppression.md,,,
sha256:6fd5e7aef596aef33533086de,cat_2025_q4,CAT,2025 Q4,neutral/no_signal,neutral/no_signal,0.25,false,low,data/review/packets/first100_batch_005_neutral_suppression.md,,,
sha256:9b294c4b89a5fb8d325d8d250,f_2025_q1,F,2025 Q1,neutral/no_signal,neutral/no_signal,0.25,false,low,data/review/packets/first100_batch_005_neutral_suppression.md,,,
sha256:633439eecfbfe8515663f5f9b,f_2025_q1,F,2025 Q1,neutral/no_signal,neutral/no_signal,0.25,false,low,data/review/packets/first100_batch_005_neutral_suppression.md,,,
sha256:5611752c860c886d1e664b810,f_2025_q1,F,2025 Q1,neutral/no_signal,neutral/no_signal,0.25,false,low,data/review/packets/first100_batch_005_neutral_suppression.md,,,
sha256:ca907e16265c87559e06ba4f9,f_2025_q2,F,2025 Q2,neutral/no_signal,neutral/no_signal,0.25,false,low,data/review/packets/first100_batch_005_neutral_suppression.md,,,
sha256:6e205576b36c2e19779f27d7c,f_2025_q2,F,2025 Q2,neutral/no_signal,neutral/no_signal,0.25,false,low,data/review/packets/first100_batch_005_neutral_suppression.md,,,
sha256:1b88bb6b8ea52f18a0f88995e,f_2025_q3,F,2025 Q3,neutral/no_signal,neutral/no_signal,0.25,false,low,data/review/packets/first100_batch_005_neutral_suppression.md,,,
sha256:b07de6b44c95bccbbdae5d60a,f_2025_q3,F,2025 Q3,neutral/no_signal,neutral/no_signal,0.25,false,low,data/review/packets/first100_batch_005_neutral_suppression.md,,,
sha256:3974ec409ed57441755d4cea4,f_2025_q4,F,2025 Q4,neutral/no_signal,neutral/no_signal,0.25,false,low,data/review/packets/first100_batch_005_neutral_suppression.md,,,
sha256:72afa1cbec4b8a14b154fd996,f_2025_q4,F,2025 Q4,neutral/no_signal,neutral/no_signal,0.25,false,low,data/review/packets/first100_batch_005_neutral_suppression.md,,,
sha256:dc8e1cca646de370e16e7709d,f_2025_q4,F,2025 Q4,neutral/no_signal,neutral/no_signal,0.25,false,low,data/review/packets/first100_batch_005_neutral_suppression.md,,,
sha256:6671a534d01f9521e3cd963e0,hd_2024_q1,HD,2024 Q1,neutral/no_signal,neutral/no_signal,0.25,false,low,data/review/packets/first100_batch_005_neutral_suppression.md,,,
sha256:8622b9d2179e37e6e1e18d867,hd_2024_q1,HD,2024 Q1,neutral/no_signal,neutral/no_signal,0.25,false,low,data/review/packets/first100_batch_005_neutral_suppression.md,,,
sha256:2d4965bdb6aaf33996ee3f184,hd_2024_q2,HD,2024 Q2,neutral/no_signal,neutral/no_signal,0.25,false,low,data/review/packets/first100_batch_005_neutral_suppression.md,,,
sha256:7a9549c5e683b36d2793b0ae2,hd_2024_q2,HD,2024 Q2,neutral/no_signal,neutral/no_signal,0.25,false,low,data/review/packets/first100_batch_005_neutral_suppression.md,,,
sha256:43c0ff45d61bcf6e3fcf8bef2,hd_2024_q3,HD,2024 Q3,neutral/no_signal,neutral/no_signal,0.25,false,low,data/review/packets/first100_batch_005_neutral_suppression.md,,,
sha256:cf582a1dd7c925bc7011d890a,hd_2024_q3,HD,2024 Q3,neutral/no_signal,neutral/no_signal,0.25,false,low,data/review/packets/first100_batch_005_neutral_suppression.md,,,
sha256:7ba738d201e9fc08a927e2761,hd_2024_q4,HD,2024 Q4,neutral/no_signal,neutral/no_signal,0.25,false,low,data/review/packets/first100_batch_005_neutral_suppression.md,,,
sha256:1b022dc3a998cde67cda7a2ef,hd_2024_q4,HD,2024 Q4,neutral/no_signal,neutral/no_signal,0.25,false,low,data/review/packets/first100_batch_005_neutral_suppression.md,,,
sha256:e96bfceab93fd1aa48929d70b,hd_2024_q4,HD,2024 Q4,neutral/no_signal,neutral/no_signal,0.25,false,low,data/review/packets/first100_batch_005_neutral_suppression.md,,,
sha256:277ceaba91cd38c33d0a06e79,hd_2025_q4,HD,2025 Q4,neutral/no_signal,neutral/no_signal,0.25,false,low,data/review/packets/first100_batch_005_neutral_suppression.md,,,
sha256:93f164870d42a3606b43d1590,hd_2025_q4,HD,2025 Q4,neutral/no_signal,neutral/no_signal,0.25,false,low,data/review/packets/first100_batch_005_neutral_suppression.md,,,
sha256:64d5a6dbb90483bdbaa89b911,jpm_2024_q2,JPM,2024 Q2,neutral/no_signal,neutral/no_signal,0.25,false,low,data/review/packets/first100_batch_005_neutral_suppression.md,,,
sha256:6df82a94d2466e5343bf47ba3,jpm_2024_q2,JPM,2024 Q2,neutral/no_signal,neutral/no_signal,0.25,false,low,data/review/packets/first100_batch_005_neutral_suppression.md,,,
sha256:433288cc010d60e29fe719f48,jpm_2024_q3,JPM,2024 Q3,neutral/no_signal,neutral/no_signal,0.25,false,low,data/review/packets/first100_batch_005_neutral_suppression.md,,,
sha256:0b6dcf46245d6c0295b1fb958,jpm_2024_q3,JPM,2024 Q3,neutral/no_signal,neutral/no_signal,0.25,false,low,data/review/packets/first100_batch_005_neutral_suppression.md,,,
