case_id,ticker,company_name,fiscal_year,fiscal_quarter,target_forms,sec_company_ref,accession_number,filing_url,item_202_or_exhibit_991,rights_status,blocked_reason,notes
gpn_2025_q4,GPN,Global Payments Inc.,2025,Q4,8-K;10-Q;10-K,sec-edgar://metadata-first/GPN/2025/Q4,,,unknown_metadata_pending,metadata_only,sec_metadata_only,SEC metadata-first target row; filing body and exhibit downloads disabled by default.
blk_2025_q4,BLK,"BlackRock, Inc.",2025,Q4,8-K;10-Q;10-K,sec-edgar://metadata-first/BLK/2025/Q4,,,unknown_metadata_pending,metadata_only,sec_metadata_only,SEC metadata-first target row; filing body and exhibit downloads disabled by default.
bx_2025_q4,BX,Blackstone Inc.,2025,Q4,8-K;10-Q;10-K,sec-edgar://metadata-first/BX/2025/Q4,,,unknown_metadata_pending,metadata_only,sec_metadata_only,SEC metadata-first target row; filing body and exhibit downloads disabled by default.
schw_2025_q4,SCHW,The Charles Schwab Corporation,2025,Q4,8-K;10-Q;10-K,sec-edgar://metadata-first/SCHW/2025/Q4,,,unknown_metadata_pending,metadata_only,sec_metadata_only,SEC metadata-first target row; filing body and exhibit downloads disabled by default.
ice_2025_q4,ICE,"Intercontinental Exchange, Inc.",2025,Q4,8-K;10-Q;10-K,sec-edgar://metadata-first/ICE/2025/Q4,,,unknown_metadata_pending,metadata_only,sec_metadata_only,SEC metadata-first target row; filing body and exhibit downloads disabled by default.
spgi_2025_q4,SPGI,S&P Global Inc.,2025,Q4,8-K;10-Q;10-K,sec-edgar://metadata-first/SPGI/2025/Q4,,,unknown_metadata_pending,metadata_only,sec_metadata_only,SEC metadata-first target row; filing body and exhibit downloads disabled by default.
mco_2025_q4,MCO,Moody's Corporation,2025,Q4,8-K;10-Q;10-K,sec-edgar://metadata-first/MCO/2025/Q4,,,unknown_metadata_pending,metadata_only,sec_metadata_only,SEC metadata-first target row; filing body and exhibit downloads disabled by default.
aon_2025_q4,AON,Aon plc,2025,Q4,8-K;10-Q;10-K,sec-edgar://metadata-first/AON/2025/Q4,,,unknown_metadata_pending,metadata_only,sec_metadata_only,SEC metadata-first target row; filing body and exhibit downloads disabled by default.
aig_2025_q4,AIG,"American International Group, Inc.",2025,Q4,8-K;10-Q;10-K,sec-edgar://metadata-first/AIG/2025/Q4,,,unknown_metadata_pending,metadata_only,sec_metadata_only,SEC metadata-first target row; filing body and exhibit downloads disabled by default.
met_2025_q4,MET,"MetLife, Inc.",2025,Q4,8-K;10-Q;10-K,sec-edgar://metadata-first/MET/2025/Q4,,,unknown_metadata_pending,metadata_only,sec_metadata_only,SEC metadata-first target row; filing body and exhibit downloads disabled by default.
pru_2025_q4,PRU,"Prudential Financial, Inc.",2025,Q4,8-K;10-Q;10-K,sec-edgar://metadata-first/PRU/2025/Q4,,,unknown_metadata_pending,metadata_only,sec_metadata_only,SEC metadata-first target row; filing body and exhibit downloads disabled by default.
trv_2025_q4,TRV,"The Travelers Companies, Inc.",2025,Q4,8-K;10-Q;10-K,sec-edgar://metadata-first/TRV/2025/Q4,,,unknown_metadata_pending,metadata_only,sec_metadata_only,SEC metadata-first target row; filing body and exhibit downloads disabled by default.
cb_2025_q4,CB,Chubb Limited,2025,Q4,8-K;10-Q;10-K,sec-edgar://metadata-first/CB/2025/Q4,,,unknown_metadata_pending,metadata_only,sec_metadata_only,SEC metadata-first target row; filing body and exhibit downloads disabled by default.
jnj_2025_q4,JNJ,Johnson & Johnson,2025,Q4,8-K;10-Q;10-K,sec-edgar://metadata-first/JNJ/2025/Q4,,,unknown_metadata_pending,metadata_only,sec_metadata_only,SEC metadata-first target row; filing body and exhibit downloads disabled by default.
lly_2025_q4,LLY,Eli Lilly and Company,2025,Q4,8-K;10-Q;10-K,sec-edgar://metadata-first/LLY/2025/Q4,,,unknown_metadata_pending,metadata_only,sec_metadata_only,SEC metadata-first target row; filing body and exhibit downloads disabled by default.
mrk_2025_q4,MRK,"Merck & Co., Inc.",2025,Q4,8-K;10-Q;10-K,sec-edgar://metadata-first/MRK/2025/Q4,,,unknown_metadata_pending,metadata_only,sec_metadata_only,SEC metadata-first target row; filing body and exhibit downloads disabled by default.
pfe_2025_q4,PFE,Pfizer Inc.,2025,Q4,8-K;10-Q;10-K,sec-edgar://metadata-first/PFE/2025/Q4,,,unknown_metadata_pending,metadata_only,sec_metadata_only,SEC metadata-first target row; filing body and exhibit downloads disabled by default.
unh_2025_q4,UNH,UnitedHealth Group Incorporated,2025,Q4,8-K;10-Q;10-K,sec-edgar://metadata-first/UNH/2025/Q4,,,unknown_metadata_pending,metadata_only,sec_metadata_only,SEC metadata-first target row; filing body and exhibit downloads disabled by default.
cvs_2025_q4,CVS,CVS Health Corporation,2025,Q4,8-K;10-Q;10-K,sec-edgar://metadata-first/CVS/2025/Q4,,,unknown_metadata_pending,metadata_only,sec_metadata_only,SEC metadata-first target row; filing body and exhibit downloads disabled by default.
abt_2025_q4,ABT,Abbott Laboratories,2025,Q4,8-K;10-Q;10-K,sec-edgar://metadata-first/ABT/2025/Q4,,,unknown_metadata_pending,metadata_only,sec_metadata_only,SEC metadata-first target row; filing body and exhibit downloads disabled by default.
bmy_2025_q4,BMY,Bristol Myers Squibb Company,2025,Q4,8-K;10-Q;10-K,sec-edgar://metadata-first/BMY/2025/Q4,,,unknown_metadata_pending,metadata_only,sec_metadata_only,SEC metadata-first target row; filing body and exhibit downloads disabled by default.
mdt_2025_q4,MDT,Medtronic plc,2025,Q4,8-K;10-Q;10-K,sec-edgar://metadata-first/MDT/2025/Q4,,,unknown_metadata_pending,metadata_only,sec_metadata_only,SEC metadata-first target row; filing body and exhibit downloads disabled by default.
tmo_2025_q4,TMO,Thermo Fisher Scientific Inc.,2025,Q4,8-K;10-Q;10-K,sec-edgar://metadata-first/TMO/2025/Q4,,,unknown_metadata_pending,metadata_only,sec_metadata_only,SEC metadata-first target row; filing body and exhibit downloads disabled by default.
dhr_2025_q4,DHR,Danaher Corporation,2025,Q4,8-K;10-Q;10-K,sec-edgar://metadata-first/DHR/2025/Q4,,,unknown_metadata_pending,metadata_only,sec_metadata_only,SEC metadata-first target row; filing body and exhibit downloads disabled by default.
bdx_2025_q4,BDX,"Becton, Dickinson and Company",2025,Q4,8-K;10-Q;10-K,sec-edgar://metadata-first/BDX/2025/Q4,,,unknown_metadata_pending,metadata_only,sec_metadata_only,SEC metadata-first target row; filing body and exhibit downloads disabled by default.
ci_2025_q4,CI,The Cigna Group,2025,Q4,8-K;10-Q;10-K,sec-edgar://metadata-first/CI/2025/Q4,,,unknown_metadata_pending,metadata_only,sec_metadata_only,SEC metadata-first target row; filing body and exhibit downloads disabled by default.
hca_2025_q4,HCA,"HCA Healthcare, Inc.",2025,Q4,8-K;10-Q;10-K,sec-edgar://metadata-first/HCA/2025/Q4,,,unknown_metadata_pending,metadata_only,sec_metadata_only,SEC metadata-first target row; filing body and exhibit downloads disabled by default.
syk_2025_q4,SYK,Stryker Corporation,2025,Q4,8-K;10-Q;10-K,sec-edgar://metadata-first/SYK/2025/Q4,,,unknown_metadata_pending,metadata_only,sec_metadata_only,SEC metadata-first target row; filing body and exhibit downloads disabled by default.
xom_2025_q4,XOM,Exxon Mobil Corporation,2025,Q4,8-K;10-Q;10-K,sec-edgar://metadata-first/XOM/2025/Q4,,,unknown_metadata_pending,metadata_only,sec_metadata_only,SEC metadata-first target row; filing body and exhibit downloads disabled by default.
cvx_2025_q4,CVX,Chevron Corporation,2025,Q4,8-K;10-Q;10-K,sec-edgar://metadata-first/CVX/2025/Q4,,,unknown_metadata_pending,metadata_only,sec_metadata_only,SEC metadata-first target row; filing body and exhibit downloads disabled by default.
cop_2025_q4,COP,ConocoPhillips,2025,Q4,8-K;10-Q;10-K,sec-edgar://metadata-first/COP/2025/Q4,,,unknown_metadata_pending,metadata_only,sec_metadata_only,SEC metadata-first target row; filing body and exhibit downloads disabled by default.
slb_2025_q4,SLB,SLB,2025,Q4,8-K;10-Q;10-K,sec-edgar://metadata-first/SLB/2025/Q4,,,unknown_metadata_pending,metadata_only,sec_metadata_only,SEC metadata-first target row; filing body and exhibit downloads disabled by default.
hal_2025_q4,HAL,Halliburton Company,2025,Q4,8-K;10-Q;10-K,sec-edgar://metadata-first/HAL/2025/Q4,,,unknown_metadata_pending,metadata_only,sec_metadata_only,SEC metadata-first target row; filing body and exhibit downloads disabled by default.
eog_2025_q4,EOG,"EOG Resources, Inc.",2025,Q4,8-K;10-Q;10-K,sec-edgar://metadata-first/EOG/2025/Q4,,,unknown_metadata_pending,metadata_only,sec_metadata_only,SEC metadata-first target row; filing body and exhibit downloads disabled by default.
oxy_2025_q4,OXY,Occidental Petroleum Corporation,2025,Q4,8-K;10-Q;10-K,sec-edgar://metadata-first/OXY/2025/Q4,,,unknown_metadata_pending,metadata_only,sec_metadata_only,SEC metadata-first target row; filing body and exhibit downloads disabled by default.
mpc_2025_q4,MPC,Marathon Petroleum Corporation,2025,Q4,8-K;10-Q;10-K,sec-edgar://metadata-first/MPC/2025/Q4,,,unknown_metadata_pending,metadata_only,sec_metadata_only,SEC metadata-first target row; filing body and exhibit downloads disabled by default.
psx_2025_q4,PSX,Phillips 66,2025,Q4,8-K;10-Q;10-K,sec-edgar://metadata-first/PSX/2025/Q4,,,unknown_metadata_pending,metadata_only,sec_metadata_only,SEC metadata-first target row; filing body and exhibit downloads disabled by default.
vlo_2025_q4,VLO,Valero Energy Corporation,2025,Q4,8-K;10-Q;10-K,sec-edgar://metadata-first/VLO/2025/Q4,,,unknown_metadata_pending,metadata_only,sec_metadata_only,SEC metadata-first target row; filing body and exhibit downloads disabled by default.
ba_2025_q4,BA,The Boeing Company,2025,Q4,8-K;10-Q;10-K,sec-edgar://metadata-first/BA/2025/Q4,,,unknown_metadata_pending,metadata_only,sec_metadata_only,SEC metadata-first target row; filing body and exhibit downloads disabled by default.
rtx_2025_q4,RTX,RTX Corporation,2025,Q4,8-K;10-Q;10-K,sec-edgar://metadata-first/RTX/2025/Q4,,,unknown_metadata_pending,metadata_only,sec_metadata_only,SEC metadata-first target row; filing body and exhibit downloads disabled by default.
lmt_2025_q4,LMT,Lockheed Martin Corporation,2025,Q4,8-K;10-Q;10-K,sec-edgar://metadata-first/LMT/2025/Q4,,,unknown_metadata_pending,metadata_only,sec_metadata_only,SEC metadata-first target row; filing body and exhibit downloads disabled by default.
noc_2025_q4,NOC,Northrop Grumman Corporation,2025,Q4,8-K;10-Q;10-K,sec-edgar://metadata-first/NOC/2025/Q4,,,unknown_metadata_pending,metadata_only,sec_metadata_only,SEC metadata-first target row; filing body and exhibit downloads disabled by default.
gd_2025_q4,GD,General Dynamics Corporation,2025,Q4,8-K;10-Q;10-K,sec-edgar://metadata-first/GD/2025/Q4,,,unknown_metadata_pending,metadata_only,sec_metadata_only,SEC metadata-first target row; filing body and exhibit downloads disabled by default.
cat_2025_q4,CAT,Caterpillar Inc.,2025,Q4,8-K;10-Q;10-K,sec-edgar://metadata-first/CAT/2025/Q4,,,unknown_metadata_pending,metadata_only,sec_metadata_only,SEC metadata-first target row; filing body and exhibit downloads disabled by default.
de_2025_q4,DE,Deere & Company,2025,Q4,8-K;10-Q;10-K,sec-edgar://metadata-first/DE/2025/Q4,,,unknown_metadata_pending,metadata_only,sec_metadata_only,SEC metadata-first target row; filing body and exhibit downloads disabled by default.
ge_2025_q4,GE,GE Aerospace,2025,Q4,8-K;10-Q;10-K,sec-edgar://metadata-first/GE/2025/Q4,,,unknown_metadata_pending,metadata_only,sec_metadata_only,SEC metadata-first target row; filing body and exhibit downloads disabled by default.
etn_2025_q4,ETN,Eaton Corporation plc,2025,Q4,8-K;10-Q;10-K,sec-edgar://metadata-first/ETN/2025/Q4,,,unknown_metadata_pending,metadata_only,sec_metadata_only,SEC metadata-first target row; filing body and exhibit downloads disabled by default.
emr_2025_q4,EMR,Emerson Electric Co.,2025,Q4,8-K;10-Q;10-K,sec-edgar://metadata-first/EMR/2025/Q4,,,unknown_metadata_pending,metadata_only,sec_metadata_only,SEC metadata-first target row; filing body and exhibit downloads disabled by default.
mmm_2025_q4,MMM,3M Company,2025,Q4,8-K;10-Q;10-K,sec-edgar://metadata-first/MMM/2025/Q4,,,unknown_metadata_pending,metadata_only,sec_metadata_only,SEC metadata-first target row; filing body and exhibit downloads disabled by default.
itw_2025_q4,ITW,Illinois Tool Works Inc.,2025,Q4,8-K;10-Q;10-K,sec-edgar://metadata-first/ITW/2025/Q4,,,unknown_metadata_pending,metadata_only,sec_metadata_only,SEC metadata-first target row; filing body and exhibit downloads disabled by default.
ph_2025_q4,PH,Parker-Hannifin Corporation,2025,Q4,8-K;10-Q;10-K,sec-edgar://metadata-first/PH/2025/Q4,,,unknown_metadata_pending,metadata_only,sec_metadata_only,SEC metadata-first target row; filing body and exhibit downloads disabled by default.
carr_2025_q4,CARR,Carrier Global Corporation,2025,Q4,8-K;10-Q;10-K,sec-edgar://metadata-first/CARR/2025/Q4,,,unknown_metadata_pending,metadata_only,sec_metadata_only,SEC metadata-first target row; filing body and exhibit downloads disabled by default.
otis_2025_q4,OTIS,Otis Worldwide Corporation,2025,Q4,8-K;10-Q;10-K,sec-edgar://metadata-first/OTIS/2025/Q4,,,unknown_metadata_pending,metadata_only,sec_metadata_only,SEC metadata-first target row; filing body and exhibit downloads disabled by default.
ups_2025_q4,UPS,"United Parcel Service, Inc.",2025,Q4,8-K;10-Q;10-K,sec-edgar://metadata-first/UPS/2025/Q4,,,unknown_metadata_pending,metadata_only,sec_metadata_only,SEC metadata-first target row; filing body and exhibit downloads disabled by default.
fdx_2025_q4,FDX,FedEx Corporation,2025,Q4,8-K;10-Q;10-K,sec-edgar://metadata-first/FDX/2025/Q4,,,unknown_metadata_pending,metadata_only,sec_metadata_only,SEC metadata-first target row; filing body and exhibit downloads disabled by default.
dal_2025_q4,DAL,"Delta Air Lines, Inc.",2025,Q4,8-K;10-Q;10-K,sec-edgar://metadata-first/DAL/2025/Q4,,,unknown_metadata_pending,metadata_only,sec_metadata_only,SEC metadata-first target row; filing body and exhibit downloads disabled by default.
unp_2025_q4,UNP,Union Pacific Corporation,2025,Q4,8-K;10-Q;10-K,sec-edgar://metadata-first/UNP/2025/Q4,,,unknown_metadata_pending,metadata_only,sec_metadata_only,SEC metadata-first target row; filing body and exhibit downloads disabled by default.
nsc_2025_q4,NSC,Norfolk Southern Corporation,2025,Q4,8-K;10-Q;10-K,sec-edgar://metadata-first/NSC/2025/Q4,,,unknown_metadata_pending,metadata_only,sec_metadata_only,SEC metadata-first target row; filing body and exhibit downloads disabled by default.
hd_2025_q4,HD,"The Home Depot, Inc.",2025,Q4,8-K;10-Q;10-K,sec-edgar://metadata-first/HD/2025/Q4,,,unknown_metadata_pending,metadata_only,sec_metadata_only,SEC metadata-first target row; filing body and exhibit downloads disabled by default.
low_2025_q4,LOW,"Lowe's Companies, Inc.",2025,Q4,8-K;10-Q;10-K,sec-edgar://metadata-first/LOW/2025/Q4,,,unknown_metadata_pending,metadata_only,sec_metadata_only,SEC metadata-first target row; filing body and exhibit downloads disabled by default.
tgt_2025_q4,TGT,Target Corporation,2025,Q4,8-K;10-Q;10-K,sec-edgar://metadata-first/TGT/2025/Q4,,,unknown_metadata_pending,metadata_only,sec_metadata_only,SEC metadata-first target row; filing body and exhibit downloads disabled by default.
kr_2025_q4,KR,The Kroger Co.,2025,Q4,8-K;10-Q;10-K,sec-edgar://metadata-first/KR/2025/Q4,,,unknown_metadata_pending,metadata_only,sec_metadata_only,SEC metadata-first target row; filing body and exhibit downloads disabled by default.
dg_2025_q4,DG,Dollar General Corporation,2025,Q4,8-K;10-Q;10-K,sec-edgar://metadata-first/DG/2025/Q4,,,unknown_metadata_pending,metadata_only,sec_metadata_only,SEC metadata-first target row; filing body and exhibit downloads disabled by default.
mcd_2025_q4,MCD,McDonald's Corporation,2025,Q4,8-K;10-Q;10-K,sec-edgar://metadata-first/MCD/2025/Q4,,,unknown_metadata_pending,metadata_only,sec_metadata_only,SEC metadata-first target row; filing body and exhibit downloads disabled by default.
yum_2025_q4,YUM,"Yum! Brands, Inc.",2025,Q4,8-K;10-Q;10-K,sec-edgar://metadata-first/YUM/2025/Q4,,,unknown_metadata_pending,metadata_only,sec_metadata_only,SEC metadata-first target row; filing body and exhibit downloads disabled by default.
nke_2025_q4,NKE,"NIKE, Inc.",2025,Q4,8-K;10-Q;10-K,sec-edgar://metadata-first/NKE/2025/Q4,,,unknown_metadata_pending,metadata_only,sec_metadata_only,SEC metadata-first target row; filing body and exhibit downloads disabled by default.
dis_2025_q4,DIS,The Walt Disney Company,2025,Q4,8-K;10-Q;10-K,sec-edgar://metadata-first/DIS/2025/Q4,,,unknown_metadata_pending,metadata_only,sec_metadata_only,SEC metadata-first target row; filing body and exhibit downloads disabled by default.
ko_2025_q4,KO,The Coca-Cola Company,2025,Q4,8-K;10-Q;10-K,sec-edgar://metadata-first/KO/2025/Q4,,,unknown_metadata_pending,metadata_only,sec_metadata_only,SEC metadata-first target row; filing body and exhibit downloads disabled by default.
pg_2025_q4,PG,The Procter & Gamble Company,2025,Q4,8-K;10-Q;10-K,sec-edgar://metadata-first/PG/2025/Q4,,,unknown_metadata_pending,metadata_only,sec_metadata_only,SEC metadata-first target row; filing body and exhibit downloads disabled by default.
cl_2025_q4,CL,Colgate-Palmolive Company,2025,Q4,8-K;10-Q;10-K,sec-edgar://metadata-first/CL/2025/Q4,,,unknown_metadata_pending,metadata_only,sec_metadata_only,SEC metadata-first target row; filing body and exhibit downloads disabled by default.
el_2025_q4,EL,The Estee Lauder Companies Inc.,2025,Q4,8-K;10-Q;10-K,sec-edgar://metadata-first/EL/2025/Q4,,,unknown_metadata_pending,metadata_only,sec_metadata_only,SEC metadata-first target row; filing body and exhibit downloads disabled by default.
gis_2025_q4,GIS,"General Mills, Inc.",2025,Q4,8-K;10-Q;10-K,sec-edgar://metadata-first/GIS/2025/Q4,,,unknown_metadata_pending,metadata_only,sec_metadata_only,SEC metadata-first target row; filing body and exhibit downloads disabled by default.
hsy_2025_q4,HSY,The Hershey Company,2025,Q4,8-K;10-Q;10-K,sec-edgar://metadata-first/HSY/2025/Q4,,,unknown_metadata_pending,metadata_only,sec_metadata_only,SEC metadata-first target row; filing body and exhibit downloads disabled by default.
t_2025_q4,T,AT&T Inc.,2025,Q4,8-K;10-Q;10-K,sec-edgar://metadata-first/T/2025/Q4,,,unknown_metadata_pending,metadata_only,sec_metadata_only,SEC metadata-first target row; filing body and exhibit downloads disabled by default.
vz_2025_q4,VZ,Verizon Communications Inc.,2025,Q4,8-K;10-Q;10-K,sec-edgar://metadata-first/VZ/2025/Q4,,,unknown_metadata_pending,metadata_only,sec_metadata_only,SEC metadata-first target row; filing body and exhibit downloads disabled by default.
ibm_2025_q4,IBM,International Business Machines Corporation,2025,Q4,8-K;10-Q;10-K,sec-edgar://metadata-first/IBM/2025/Q4,,,unknown_metadata_pending,metadata_only,sec_metadata_only,SEC metadata-first target row; filing body and exhibit downloads disabled by default.
orcl_2025_q4,ORCL,Oracle Corporation,2025,Q4,8-K;10-Q;10-K,sec-edgar://metadata-first/ORCL/2025/Q4,,,unknown_metadata_pending,metadata_only,sec_metadata_only,SEC metadata-first target row; filing body and exhibit downloads disabled by default.
crm_2025_q4,CRM,"Salesforce, Inc.",2025,Q4,8-K;10-Q;10-K,sec-edgar://metadata-first/CRM/2025/Q4,,,unknown_metadata_pending,metadata_only,sec_metadata_only,SEC metadata-first target row; filing body and exhibit downloads disabled by default.
now_2025_q4,NOW,"ServiceNow, Inc.",2025,Q4,8-K;10-Q;10-K,sec-edgar://metadata-first/NOW/2025/Q4,,,unknown_metadata_pending,metadata_only,sec_metadata_only,SEC metadata-first target row; filing body and exhibit downloads disabled by default.
acn_2025_q4,ACN,Accenture plc,2025,Q4,8-K;10-Q;10-K,sec-edgar://metadata-first/ACN/2025/Q4,,,unknown_metadata_pending,metadata_only,sec_metadata_only,SEC metadata-first target row; filing body and exhibit downloads disabled by default.
dell_2025_q4,DELL,Dell Technologies Inc.,2025,Q4,8-K;10-Q;10-K,sec-edgar://metadata-first/DELL/2025/Q4,,,unknown_metadata_pending,metadata_only,sec_metadata_only,SEC metadata-first target row; filing body and exhibit downloads disabled by default.
hpq_2025_q4,HPQ,HP Inc.,2025,Q4,8-K;10-Q;10-K,sec-edgar://metadata-first/HPQ/2025/Q4,,,unknown_metadata_pending,metadata_only,sec_metadata_only,SEC metadata-first target row; filing body and exhibit downloads disabled by default.
net_2025_q4,NET,"Cloudflare, Inc.",2025,Q4,8-K;10-Q;10-K,sec-edgar://metadata-first/NET/2025/Q4,,,unknown_metadata_pending,metadata_only,sec_metadata_only,SEC metadata-first target row; filing body and exhibit downloads disabled by default.
snow_2025_q4,SNOW,Snowflake Inc.,2025,Q4,8-K;10-Q;10-K,sec-edgar://metadata-first/SNOW/2025/Q4,,,unknown_metadata_pending,metadata_only,sec_metadata_only,SEC metadata-first target row; filing body and exhibit downloads disabled by default.
jpm_2024_q4,JPM,JPMorgan Chase & Co.,2024,Q4,8-K;10-Q;10-K,sec-edgar://metadata-first/JPM/2024/Q4,,,unknown_metadata_pending,metadata_only,sec_metadata_only,SEC metadata-first target row; filing body and exhibit downloads disabled by default.
bac_2024_q4,BAC,Bank of America Corporation,2024,Q4,8-K;10-Q;10-K,sec-edgar://metadata-first/BAC/2024/Q4,,,unknown_metadata_pending,metadata_only,sec_metadata_only,SEC metadata-first target row; filing body and exhibit downloads disabled by default.
c_2024_q4,C,Citigroup Inc.,2024,Q4,8-K;10-Q;10-K,sec-edgar://metadata-first/C/2024/Q4,,,unknown_metadata_pending,metadata_only,sec_metadata_only,SEC metadata-first target row; filing body and exhibit downloads disabled by default.
wfc_2024_q4,WFC,Wells Fargo & Company,2024,Q4,8-K;10-Q;10-K,sec-edgar://metadata-first/WFC/2024/Q4,,,unknown_metadata_pending,metadata_only,sec_metadata_only,SEC metadata-first target row; filing body and exhibit downloads disabled by default.
gs_2024_q4,GS,"The Goldman Sachs Group, Inc.",2024,Q4,8-K;10-Q;10-K,sec-edgar://metadata-first/GS/2024/Q4,,,unknown_metadata_pending,metadata_only,sec_metadata_only,SEC metadata-first target row; filing body and exhibit downloads disabled by default.
ms_2024_q4,MS,Morgan Stanley,2024,Q4,8-K;10-Q;10-K,sec-edgar://metadata-first/MS/2024/Q4,,,unknown_metadata_pending,metadata_only,sec_metadata_only,SEC metadata-first target row; filing body and exhibit downloads disabled by default.
bk_2024_q4,BK,The Bank of New York Mellon Corporation,2024,Q4,8-K;10-Q;10-K,sec-edgar://metadata-first/BK/2024/Q4,,,unknown_metadata_pending,metadata_only,sec_metadata_only,SEC metadata-first target row; filing body and exhibit downloads disabled by default.
stt_2024_q4,STT,State Street Corporation,2024,Q4,8-K;10-Q;10-K,sec-edgar://metadata-first/STT/2024/Q4,,,unknown_metadata_pending,metadata_only,sec_metadata_only,SEC metadata-first target row; filing body and exhibit downloads disabled by default.
usb_2024_q4,USB,U.S. Bancorp,2024,Q4,8-K;10-Q;10-K,sec-edgar://metadata-first/USB/2024/Q4,,,unknown_metadata_pending,metadata_only,sec_metadata_only,SEC metadata-first target row; filing body and exhibit downloads disabled by default.
pnc_2024_q4,PNC,"The PNC Financial Services Group, Inc.",2024,Q4,8-K;10-Q;10-K,sec-edgar://metadata-first/PNC/2024/Q4,,,unknown_metadata_pending,metadata_only,sec_metadata_only,SEC metadata-first target row; filing body and exhibit downloads disabled by default.
