id,source_file,domain,text,suggested_label,suggested_evidence_terms,suggestion_confidence,reviewer_label,reviewer_confidence,reviewer_notes,accepted
candidate_0096,demo/signal_engine_2_0/account_management_demo_output.json,account_management,"Our renewal is in about 45 days, and we're still dealing with two unresolved onboarding issues from t...",risk_friction,renewal; still dealing with; unresolved,high,,,,
candidate_0098,demo/signal_engine_2_0/account_management_demo_output.json,account_management,"...f these issues stay open into renewal, we may cut seats, delay the renewal, or look at another vendor.",risk_friction,cut seats; look at another vendor; renewal,high,,,,
candidate_0123,demo/signal_engine_2_0/buyer_one_pager.md,unknown,"Account management: churn risk, renewal concern, unresolved issues, commitment clarity, expansion opportunity",risk_friction,concern; renewal; unresolved,high,,,,
candidate_0148,demo/signal_engine_2_0/demo_report.md,unknown,"""...if this is still unresolved today I'll escalate it to your manager and dispute the charge.""",risk_friction,escalate; manager; unresolved,high,,,,
candidate_0152,demo/signal_engine_2_0/demo_report.md,unknown,"A prospect expresses interest in a pilot, raises pricing concerns, compares the product to Zendesk and Intercom, and signals procurement involvement if the next step goes well.",risk_friction,pricing; intercom; zendesk,high,,,,
candidate_0153,demo/signal_engine_2_0/demo_report.md,unknown,"A prospect expresses interest in a pilot, raises pricing concerns, compares the product to Zendesk and Intercom",risk_friction,pricing; intercom; zendesk,high,,,,
candidate_0165,demo/signal_engine_2_0/demo_report.md,unknown,"""Our renewal is in about 45 days, and we're still dealing with two unresolved onboarding issues...""",risk_friction,renewal; still dealing with; unresolved,high,,,,
candidate_0167,demo/signal_engine_2_0/demo_report.md,unknown,"""...we may cut seats, delay the renewal, or look at another vendor.""",risk_friction,cut seats; look at another vendor; renewal,high,,,,
candidate_0233,demo/signal_engine_2_0/support_demo_output.json,support,...s still unresolved today I'll escalate it to your manager and dispute the charge.,risk_friction,escalate; manager; unresolved,high,,,,
candidate_0010,data/signal_engine_2_0/emotion_benchmark/sample_emotion_cases.jsonl,unknown,We're still waiting on the onboarding fix and nothing has changed since last week's review.,risk_friction,still waiting; waiting on,medium,,,,
candidate_0017,data/signal_engine_2_0/emotion_benchmark/sample_emotion_cases.jsonl,unknown,"For reference, the current status is that procurement is scheduled for next Tuesday and the legal review is still open.",risk_friction,legal; still open,medium,,,,
candidate_0021,data/signal_engine_2_0/emotion_benchmark/sample_emotion_cases.jsonl,unknown,We're worried the migration might slip into quarter close and could impact the renewal if the issue remains open.,risk_friction,worried; renewal,medium,,,,
candidate_0026,data/signal_engine_2_0/fixtures/account_management_realistic.jsonl,account_management,"Our renewal is 30 days out, two onboarding issues are still unresolved, and leadership is asking whether we should reduce seats if support does not stabilize.",risk_friction,renewal; unresolved,medium,,,,
candidate_0027,data/signal_engine_2_0/fixtures/account_management_realistic.jsonl,account_management,"Our renewal is 30 days out, two onboarding issues are still unresolved",risk_friction,renewal; unresolved,medium,,,,
candidate_0031,data/signal_engine_2_0/fixtures/account_management_realistic.jsonl,account_management,"Realistic synthetic account-management conversation with renewal risk, unresolved issues, and conditional expansion upside.",risk_friction,renewal; unresolved,medium,,,,
candidate_0032,data/signal_engine_2_0/fixtures/account_management_realistic.jsonl,account_management,"Realistic synthetic account-management conversation with renewal risk, unresolved issues",risk_friction,renewal; unresolved,medium,,,,
candidate_0040,data/signal_engine_2_0/fixtures/sales_calls_realistic.jsonl,sales,"Realistic synthetic sales call with pricing objection, competitor pressure, and weak next-step clarity.",risk_friction,pricing; competitor,medium,,,,
candidate_0041,data/signal_engine_2_0/fixtures/sales_calls_realistic.jsonl,sales,"Realistic synthetic sales call with pricing objection, competitor pressure",risk_friction,pricing; competitor,medium,,,,
candidate_0048,data/signal_engine_2_0/fixtures/support_tickets_realistic.jsonl,support,"The failed resolution has been open since Monday, the card ending 1111 was charged twice, and if this slips again we will escalate the dispute.",risk_friction,again; escalate,medium,,,,
candidate_0050,data/signal_engine_2_0/fixtures/support_tickets_realistic.jsonl,support,and if this slips again we will escalate the dispute.,risk_friction,again; escalate,medium,,,,
candidate_0056,data/signal_engine_2_0/sample_account_management.json,account_management,and we're still dealing with two unresolved onboarding issues from the launch.,risk_friction,still dealing with; unresolved,medium,,,,
candidate_0063,data/signal_engine_2_0/sample_account_management.json,account_management,"Tiny deterministic account-management example with renewal risk, unresolved issues, churn pressure, and expansion upside.",risk_friction,renewal; unresolved,medium,,,,
candidate_0064,data/signal_engine_2_0/sample_account_management.json,account_management,"Tiny deterministic account-management example with renewal risk, unresolved issues, churn pressure",risk_friction,renewal; unresolved,medium,,,,
candidate_0069,data/signal_engine_2_0/sample_sales.json,sales,My main concern is price.,risk_friction,concern; price,medium,,,,
candidate_0078,data/signal_engine_2_0/sample_sales.json,sales,"Tiny deterministic sales example with buyer intent, pricing pressure, competitor mentions, and a concrete next step.",risk_friction,pricing; competitor,medium,,,,
candidate_0079,data/signal_engine_2_0/sample_sales.json,sales,"Tiny deterministic sales example with buyer intent, pricing pressure, competitor mentions",risk_friction,pricing; competitor,medium,,,,
candidate_0083,data/signal_engine_2_0/sample_support.json,support,"Refund timing sits with another team, so please refer to the billing FAQ for now while we look into it on our side.",risk_friction,another team; please refer to,medium,,,,
candidate_0095,demo/signal_engine_2_0/account_management_demo_output.json,account_management,...ce will ask whether we should downgrade or switch.,risk_friction,downgrade; switch,medium,,,,
candidate_0097,demo/signal_engine_2_0/account_management_demo_output.json,account_management,and we're still dealing with two unresolved onboarding issues from t...,risk_friction,still dealing with; unresolved,medium,,,,
candidate_0099,demo/signal_engine_2_0/account_management_demo_output.json,account_management,"...s in about 45 days, and we're still dealing with two unresolved onboarding issues from the launch.",risk_friction,still dealing with; unresolved,medium,,,,
candidate_0122,demo/signal_engine_2_0/buyer_one_pager.md,unknown,"Sales: buyer intent, objections, pricing pressure, competitor mentions, next-step clarity",risk_friction,pricing; competitor,medium,,,,
candidate_0145,demo/signal_engine_2_0/demo_report.md,unknown,"""Refund timing sits with another team, so please refer to the billing FAQ for now...""",risk_friction,another team; please refer to,medium,,,,
candidate_0158,demo/signal_engine_2_0/demo_report.md,unknown,This would have saved a sales manager from manually skimming the call just to learn the deal is real but price-sensitive.,risk_friction,manager; price,medium,,,,
candidate_0159,demo/signal_engine_2_0/demo_report.md,unknown,"It focuses follow-up on discount strategy, competitor pressure, and whether the rep left the call with a concrete next step.",risk_friction,discount; competitor,medium,,,,
candidate_0160,demo/signal_engine_2_0/demo_report.md,unknown,"It focuses follow-up on discount strategy, competitor pressure",risk_friction,discount; competitor,medium,,,,
candidate_0162,demo/signal_engine_2_0/demo_report.md,unknown,"An existing customer is approaching renewal with unresolved onboarding issues, warns that seats may be cut or the vendor replaced, but also suggests possible expansion if stability improves.",risk_friction,renewal; unresolved,medium,,,,
candidate_0163,demo/signal_engine_2_0/demo_report.md,unknown,"An existing customer is approaching renewal with unresolved onboarding issues, warns that seats may be cut or the vendor replaced",risk_friction,renewal; unresolved,medium,,,,
candidate_0166,demo/signal_engine_2_0/demo_report.md,unknown,"and we're still dealing with two unresolved onboarding issues...""",risk_friction,still dealing with; unresolved,medium,,,,
candidate_0203,demo/signal_engine_2_0/polished_examples.md,unknown,"A prospective buyer is interested in moving forward, but raises pricing pressure, compares the product to a competitor, and leaves the next step weaker than ideal.",risk_friction,pricing; competitor,medium,,,,
candidate_0205,demo/signal_engine_2_0/polished_examples.md,unknown,"but raises pricing pressure, compares the product to a competitor",risk_friction,pricing; competitor,medium,,,,
candidate_0209,demo/signal_engine_2_0/polished_examples.md,unknown,"""The seat cost still feels high for where we are.""",risk_friction,cost; seat cost,medium,,,,
candidate_0212,demo/signal_engine_2_0/polished_examples.md,unknown,"Tighten the next-step commitment, answer the pricing objection directly, and equip the rep with a concrete competitor comparison for the next review.",risk_friction,pricing; competitor,medium,,,,
candidate_0221,demo/signal_engine_2_0/sales_demo_output.json,sales,Buyer raised pricing or budget concerns.,risk_friction,budget; pricing,medium,,,,
candidate_0225,demo/signal_engine_2_0/sales_demo_output.json,sales,Competitor or alternative mention detected.,risk_friction,alternative; competitor,medium,,,,
candidate_0252,outputs/signal_engine_2_0/final_demo/pii_redacted_support_output.json,support,"...rged twice, and if this slips again we will escalate the dispute.",risk_friction,again; escalate,medium,,,,
candidate_0253,outputs/signal_engine_2_0/final_demo/pii_redacted_support_output.json,support,...d if this slips again we will escalate the dispute.,risk_friction,again; escalate,medium,,,,
candidate_0298,outputs/signal_engine_2_0/multimodal_feature_report.json,unknown,Escalate for human review if unresolved operational risk keeps increasing.,risk_friction,escalate; unresolved,medium,,,,
candidate_0007,data/signal_engine_2_0/emotion_benchmark/sample_emotion_cases.jsonl,unknown,I'm angry that your team charged the wrong card again and closed the ticket without notice.,risk_friction,again,medium,,,,
candidate_0009,data/signal_engine_2_0/emotion_benchmark/sample_emotion_cases.jsonl,unknown,I'm frustrated because I keep reopening the same issue and there is still no update from billing.,risk_friction,frustrated,medium,,,,
candidate_0016,data/signal_engine_2_0/emotion_benchmark/sample_emotion_cases.jsonl,unknown,We appreciate the follow-through and that works for our renewal review.,risk_friction,renewal,medium,,,,
candidate_0018,data/signal_engine_2_0/emotion_benchmark/sample_emotion_cases.jsonl,unknown,Sharing the update from finance: the meeting starts at 09:00 CET and the agenda is attached in the renewal folder.,risk_friction,renewal,medium,,,,
candidate_0036,data/signal_engine_2_0/fixtures/sales_calls_realistic.jsonl,sales,We can probably work something out on pricing and I can send more details later once I regroup with the team.,risk_friction,pricing,medium,,,,
candidate_0039,data/signal_engine_2_0/fixtures/sales_calls_realistic.jsonl,sales,"and discount range, procurement will not move this week.",risk_friction,discount,medium,,,,
candidate_0042,data/signal_engine_2_0/fixtures/support_tickets_realistic.jsonl,support,I'm frustrated that invoice 8842 still shows the wrong total and nobody has confirmed when the credit will post.,risk_friction,frustrated,medium,,,,
candidate_0055,data/signal_engine_2_0/sample_account_management.json,account_management,Our renewal is in about 45 days,risk_friction,renewal,medium,,,,
candidate_0072,data/signal_engine_2_0/sample_sales.json,sales,and the team is also comparing you to Intercom.,risk_friction,intercom,medium,,,,
candidate_0077,data/signal_engine_2_0/sample_sales.json,sales,"If the discount works and security signs off, we can bring procurement in next week.",risk_friction,discount,medium,,,,
candidate_0081,data/signal_engine_2_0/sample_support.json,support,"Hi, I'm honestly pretty frustrated.",risk_friction,frustrated,medium,,,,
candidate_0084,data/signal_engine_2_0/sample_support.json,support,Refund timing sits with another team,risk_friction,another team,medium,,,,
candidate_0085,data/signal_engine_2_0/sample_support.json,support,so please refer to the billing FAQ for now while we look into it on our side.,risk_friction,please refer to,medium,,,,
candidate_0090,data/signal_engine_2_0/sample_support.json,support,We are still looking into it and someone will reach out later once billing has an update.,risk_friction,someone will reach out,medium,,,,
candidate_0091,data/signal_engine_2_0/sample_support.json,support,"Tiny deterministic support escalation example with frustration, deflection, unresolved status, and escalation risk.",risk_friction,unresolved,medium,,,,
candidate_0092,data/signal_engine_2_0/sample_support.json,support,"Tiny deterministic support escalation example with frustration, deflection, unresolved status",risk_friction,unresolved,medium,,,,
candidate_0101,demo/signal_engine_2_0/account_management_demo_output.json,account_management,Customer sentiment skews negative alongside churn or renewal risk cues.,risk_friction,renewal,medium,,,,
candidate_0142,demo/signal_engine_2_0/demo_report.md,unknown,"A customer follows up on an overdue refund tied to an open ticket, the agent deflects to billing and a FAQ, the issue remains unresolved, and the customer threatens escalation and a charge dispute.",risk_friction,unresolved,medium,,,,
candidate_0143,demo/signal_engine_2_0/demo_report.md,unknown,"A customer follows up on an overdue refund tied to an open ticket, the agent deflects to billing and a FAQ, the issue remains unresolved",risk_friction,unresolved,medium,,,,
candidate_0146,demo/signal_engine_2_0/demo_report.md,unknown,"so please refer to the billing FAQ for now...""",risk_friction,please refer to,medium,,,,
candidate_0149,demo/signal_engine_2_0/demo_report.md,unknown,"""We are still looking into it and someone will reach out later...""",risk_friction,someone will reach out,medium,,,,
candidate_0150,demo/signal_engine_2_0/demo_report.md,unknown,This would have flagged a likely escalation before a supervisor had to read the full thread.,risk_friction,supervisor,medium,,,,
candidate_0151,demo/signal_engine_2_0/demo_report.md,unknown,"For a support QA lead, it narrows review to a vague, deflective exchange with clear customer frustration and unresolved ownership.",risk_friction,unresolved,medium,,,,
candidate_0156,demo/signal_engine_2_0/demo_report.md,unknown,"""...the team is also comparing you to Intercom.""",risk_friction,intercom,medium,,,,
candidate_0180,demo/signal_engine_2_0/demo_report.md,unknown,not legal or compliance advice,risk_friction,legal,medium,,,,
candidate_0188,demo/signal_engine_2_0/polished_examples.md,unknown,detected review state: unresolved billing issue with escalation risk,risk_friction,unresolved,medium,,,,
candidate_0191,demo/signal_engine_2_0/polished_examples.md,unknown,"""Refund timing sits with another team, so I can't change it here.""",risk_friction,another team,medium,,,,
candidate_0193,demo/signal_engine_2_0/polished_examples.md,unknown,"""I've already asked twice and the problem is still open.""",risk_friction,still open,medium,,,,
candidate_0194,demo/signal_engine_2_0/polished_examples.md,unknown,"""I'm pretty frustrated at this point.""",risk_friction,frustrated,medium,,,,
candidate_0207,demo/signal_engine_2_0/polished_examples.md,unknown,detected review state: active deal motion with pricing and competitive pressure,risk_friction,pricing,medium,,,,
candidate_0210,demo/signal_engine_2_0/polished_examples.md,unknown,"""We're also comparing this against Intercom.""",risk_friction,intercom,medium,,,,
candidate_0213,demo/signal_engine_2_0/polished_examples.md,unknown,"Tighten the next-step commitment, answer the pricing objection directly",risk_friction,pricing,medium,,,,
candidate_0214,demo/signal_engine_2_0/polished_examples.md,unknown,and equip the rep with a concrete competitor comparison for the next review.,risk_friction,competitor,medium,,,,
candidate_0217,demo/signal_engine_2_0/polished_examples.md,unknown,"It helps a manager or buyer see what was detected, why it was detected, and what requires review next, without pretending to predict closed-won outcomes from the transcript alone.",risk_friction,manager,medium,,,,
candidate_0218,demo/signal_engine_2_0/polished_examples.md,unknown,"It helps a manager or buyer see what was detected, why it was detected",risk_friction,manager,medium,,,,
candidate_0224,demo/signal_engine_2_0/sales_demo_output.json,sales,...team is also comparing you to Intercom.,risk_friction,intercom,medium,,,,
candidate_0231,demo/signal_engine_2_0/support_demo_output.json,support,...are still looking into it and someone will reach out later once billing has an update.,risk_friction,someone will reach out,medium,,,,
candidate_0251,outputs/signal_engine_2_0/final_demo/pii_redacted_support_output.json,support,I'm frustrated that invoice 8842 still shows the wrong total and nobody has confirmed when the credit wi...,risk_friction,frustrated,medium,,,,
candidate_0254,outputs/signal_engine_2_0/final_demo/pii_redacted_support_output.json,support,Customer prompt is still open without a clear resolution turn.,risk_friction,still open,medium,,,,
candidate_0259,outputs/signal_engine_2_0/final_demo/text_emotion_benchmark/report.md,unknown,"`anger, frustration, confusion, satisfaction, neutral, concern, urgency`",risk_friction,concern,medium,,,,
candidate_0266,outputs/signal_engine_2_0/final_demo/text_emotion_benchmark/report.md,unknown,| concern | 2 |,risk_friction,concern,medium,,,,
candidate_0274,outputs/signal_engine_2_0/final_demo/text_emotion_benchmark/report.md,unknown,| concern | 1.0000 | 1.0000 | 1.0000 | 2 |,risk_friction,concern,medium,,,,
candidate_0276,outputs/signal_engine_2_0/final_demo/text_emotion_benchmark/report.md,unknown,| true \ pred | anger | frustration | confusion | satisfaction | neutral | concern | urgency |,risk_friction,concern,medium,,,,
candidate_0282,outputs/signal_engine_2_0/final_demo/text_emotion_benchmark/report.md,unknown,| concern | 0 | 0 | 0 | 0 | 0 | 2 | 0 |,risk_friction,concern,medium,,,,
candidate_0293,outputs/signal_engine_2_0/multimodal_feature_report.json,unknown,Matched deterministic transcript cues: escalate.,risk_friction,escalate,medium,,,,
candidate_0297,outputs/signal_engine_2_0/multimodal_feature_report.json,unknown,"Matched deterministic transcript cues: escalate, dispute.",risk_friction,escalate,medium,,,,
candidate_0073,data/signal_engine_2_0/sample_sales.json,sales,"I can send a pilot plan, pricing options, and a proposal by Tuesday, and I can include the security packet for procurement.",opportunity_commitment,pilot; procurement; proposal; pilot plan; pricing options; send,high,,,,
candidate_0157,demo/signal_engine_2_0/demo_report.md,unknown,"""I can send a pilot plan, pricing options, and a proposal by Tuesday...""",opportunity_commitment,pilot; proposal; pilot plan; pricing options; send,high,,,,
candidate_0228,demo/signal_engine_2_0/sales_demo_output.json,sales,"I can send a pilot plan, pricing options, and a proposal by Tuesday, and I can include the security packet for pr...",opportunity_commitment,pilot; proposal; pilot plan; pricing options; send,high,,,,
candidate_0029,data/signal_engine_2_0/fixtures/account_management_realistic.jsonl,account_management,I own the recovery plan and will send named owners this afternoon with a renewal review for next Tuesday.,opportunity_commitment,send; i own; recovery plan; renewal review,high,,,,
candidate_0057,data/signal_engine_2_0/sample_account_management.json,account_management,I own the action items and will send a recovery plan by Friday with owners for each open item.,opportunity_commitment,send; action items; i own; recovery plan,high,,,,
candidate_0074,data/signal_engine_2_0/sample_sales.json,sales,"I can send a pilot plan, pricing options",opportunity_commitment,pilot; pilot plan; pricing options; send,high,,,,
candidate_0169,demo/signal_engine_2_0/demo_report.md,unknown,"""I own the action items and will send a recovery plan by Friday...""",opportunity_commitment,send; action items; i own; recovery plan,high,,,,
candidate_0030,data/signal_engine_2_0/fixtures/account_management_realistic.jsonl,account_management,"If the recovery plan lands and the integrations are fixed, we may still expand analytics seats later this quarter.",opportunity_commitment,fixed; expand; recovery plan,high,,,,
candidate_0058,data/signal_engine_2_0/sample_account_management.json,account_management,"If the rollout stabilizes this quarter, we may add the support team and upgrade to the enterprise package.",opportunity_commitment,rollout; enterprise package; upgrade,high,,,,
candidate_0060,data/signal_engine_2_0/sample_account_management.json,account_management,I'll confirm owners today and schedule a renewal review next week so we can decide whether expansion is still realistic.,opportunity_commitment,schedule; expansion; renewal review,high,,,,
candidate_0106,demo/signal_engine_2_0/account_management_demo_output.json,account_management,...m owners today and schedule a renewal review next week so we can decide whether expansion is still realistic.,opportunity_commitment,schedule; expansion; renewal review,high,,,,
candidate_0037,data/signal_engine_2_0/fixtures/sales_calls_realistic.jsonl,sales,"Without a concrete next step, security packet, and discount range, procurement will not move this week.",opportunity_commitment,procurement; next step,medium,,,,
candidate_0065,data/signal_engine_2_0/sample_sales.json,sales,"I can walk through the pilot scope, rollout plan, and how teams usually evaluate the workflow.",opportunity_commitment,pilot; rollout,medium,,,,
candidate_0066,data/signal_engine_2_0/sample_sales.json,sales,"I can walk through the pilot scope, rollout plan",opportunity_commitment,pilot; rollout,medium,,,,
candidate_0068,data/signal_engine_2_0/sample_sales.json,sales,We're interested in a pilot next month if the security review goes well and the onboarding looks lighter than what we've seen before.,opportunity_commitment,pilot; security review,medium,,,,
candidate_0102,demo/signal_engine_2_0/account_management_demo_output.json,account_management,...pport team and upgrade to the enterprise package.,opportunity_commitment,enterprise package; upgrade,medium,,,,
candidate_0103,demo/signal_engine_2_0/account_management_demo_output.json,account_management,Expansion or upgrade language detected.,opportunity_commitment,expansion; upgrade,medium,,,,
candidate_0154,demo/signal_engine_2_0/demo_report.md,unknown,and signals procurement involvement if the next step goes well.,opportunity_commitment,procurement; next step,medium,,,,
candidate_0155,demo/signal_engine_2_0/demo_report.md,unknown,"""We're interested in a pilot next month if the security review goes well...""",opportunity_commitment,pilot; security review,medium,,,,
candidate_0168,demo/signal_engine_2_0/demo_report.md,unknown,"""If the rollout stabilizes this quarter, we may add the support team and upgrade...""",opportunity_commitment,rollout; upgrade,medium,,,,
candidate_0226,demo/signal_engine_2_0/sales_demo_output.json,sales,We're interested in a pilot next month if the security review goes well and the onboarding looks lighter than what we...,opportunity_commitment,pilot; security review,medium,,,,
candidate_0012,data/signal_engine_2_0/emotion_benchmark/sample_emotion_cases.jsonl,unknown,Can you explain what this new implementation fee covers?,opportunity_commitment,implementation,medium,,,,
candidate_0015,data/signal_engine_2_0/emotion_benchmark/sample_emotion_cases.jsonl,unknown,Thank you for the recovery plan.,opportunity_commitment,recovery plan,medium,,,,
candidate_0020,data/signal_engine_2_0/emotion_benchmark/sample_emotion_cases.jsonl,unknown,Please send the update to [EMAIL] when you have it.,opportunity_commitment,send,medium,,,,
candidate_0022,data/signal_engine_2_0/emotion_benchmark/sample_emotion_cases.jsonl,unknown,"We need this fixed today before the board call, so please respond right away at [PHONE].",opportunity_commitment,fixed,medium,,,,
candidate_0023,data/signal_engine_2_0/emotion_benchmark/sample_emotion_cases.jsonl,unknown,We need this fixed today before the board call,opportunity_commitment,fixed,medium,,,,
candidate_0035,data/signal_engine_2_0/fixtures/sales_calls_realistic.jsonl,sales,and I still do not know what happens after the pilot.,opportunity_commitment,pilot,medium,,,,
candidate_0038,data/signal_engine_2_0/fixtures/sales_calls_realistic.jsonl,sales,"Without a concrete next step, security packet",opportunity_commitment,next step,medium,,,,
candidate_0043,data/signal_engine_2_0/fixtures/support_tickets_realistic.jsonl,support,Please send the update to [EMAIL] or call [PHONE].,opportunity_commitment,send,medium,,,,
candidate_0075,data/signal_engine_2_0/sample_sales.json,sales,and a proposal by Tuesday,opportunity_commitment,proposal,medium,,,,
candidate_0076,data/signal_engine_2_0/sample_sales.json,sales,and I can include the security packet for procurement.,opportunity_commitment,procurement,medium,,,,
candidate_0080,data/signal_engine_2_0/sample_sales.json,sales,and a concrete next step.,opportunity_commitment,next step,medium,,,,
candidate_0104,demo/signal_engine_2_0/account_management_demo_output.json,account_management,...week so we can decide whether expansion is still realistic.,opportunity_commitment,expansion,medium,,,,
candidate_0109,demo/signal_engine_2_0/account_management_demo_output.json,account_management,Optional offline speech-to-text when the input is audio rather than transcript text.,opportunity_commitment,offline,medium,,,,
candidate_0127,demo/signal_engine_2_0/buyer_one_pager.md,unknown,teams can pilot quickly without adding black-box AI risk,opportunity_commitment,pilot,medium,,,,
candidate_0134,demo/signal_engine_2_0/buyer_one_pager.md,unknown,"recruiters and hiring managers evaluating product judgment, deterministic NLP design, and demo readiness",opportunity_commitment,demo,medium,,,,
candidate_0161,demo/signal_engine_2_0/demo_report.md,unknown,and whether the rep left the call with a concrete next step.,opportunity_commitment,next step,medium,,,,
candidate_0164,demo/signal_engine_2_0/demo_report.md,unknown,but also suggests possible expansion if stability improves.,opportunity_commitment,expansion,medium,,,,
candidate_0171,demo/signal_engine_2_0/demo_report.md,unknown,"A CS leader can quickly see that the account needs recovery execution now, but still has expansion value if the open issues are closed.",opportunity_commitment,expansion,medium,,,,
candidate_0173,demo/signal_engine_2_0/demo_report.md,unknown,but still has expansion value if the open issues are closed.,opportunity_commitment,expansion,medium,,,,
candidate_0177,demo/signal_engine_2_0/demo_report.md,unknown,Demo JSON artifacts in this pack:,opportunity_commitment,demo,medium,,,,
candidate_0206,demo/signal_engine_2_0/polished_examples.md,unknown,and leaves the next step weaker than ideal.,opportunity_commitment,next step,medium,,,,
candidate_0227,demo/signal_engine_2_0/sales_demo_output.json,sales,"...urity signs off, we can bring procurement in next week.",opportunity_commitment,procurement,medium,,,,
candidate_0285,outputs/signal_engine_2_0/final_demo/text_emotion_benchmark/report.md,unknown,expand fixtures only after rubric review and privacy sign-off,opportunity_commitment,expand,medium,,,,
candidate_0291,outputs/signal_engine_2_0/multimodal_feature_report.json,unknown,"Matched deterministic transcript cues: send, we will.",opportunity_commitment,send,medium,,,,
candidate_0044,data/signal_engine_2_0/fixtures/support_tickets_realistic.jsonl,support,"Billing is still reviewing it, so please check the help center article for now while we wait for their response.",uncertainty_hedging,for now,medium,,,,
candidate_0046,data/signal_engine_2_0/fixtures/support_tickets_realistic.jsonl,support,so please check the help center article for now while we wait for their response.,uncertainty_hedging,for now,medium,,,,
candidate_0288,outputs/signal_engine_2_0/multimodal_feature_report.json,unknown,Matched deterministic transcript cues: for now.,uncertainty_hedging,for now,medium,,,,
candidate_0306,outputs/signal_engine_2_0/multimodal_feature_report.json,unknown,Review cautious or ambiguous language before making a directional judgment.,uncertainty_hedging,cautious,medium,,,,
candidate_0001,data/signal_engine_2_0/dataset_manifests/emotion_benchmark_manifest.json,unknown,Signal Engine 2.0 handcrafted text emotion benchmark fixture,neutral,,medium,,,,
candidate_0002,data/signal_engine_2_0/dataset_manifests/emotion_benchmark_manifest.json,unknown,Contains synthetic placeholder contact details for redaction validation only.,neutral,,medium,,,,
candidate_0003,data/signal_engine_2_0/dataset_manifests/emotion_benchmark_manifest.json,unknown,"Lightweight harness validation for deterministic text emotion benchmarking in support, sales, and account-management workflows.",neutral,,medium,,,,
candidate_0004,data/signal_engine_2_0/dataset_manifests/emotion_benchmark_manifest.json,unknown,"Lightweight harness validation for deterministic text emotion benchmarking in support, sales",neutral,,medium,,,,
candidate_0005,data/signal_engine_2_0/dataset_manifests/emotion_benchmark_manifest.json,unknown,Not a production benchmark or domain proof.,neutral,,low,,,,
candidate_0006,data/signal_engine_2_0/dataset_manifests/emotion_benchmark_manifest.json,unknown,Includes synthetic placeholder PII patterns solely to exercise redaction behavior.,neutral,,medium,,,,
candidate_0011,data/signal_engine_2_0/emotion_benchmark/sample_emotion_cases.jsonl,unknown,I'm confused about which invoice version is final because the portal and the email summary do not match.,neutral,,medium,,,,
candidate_0013,data/signal_engine_2_0/emotion_benchmark/sample_emotion_cases.jsonl,unknown,I don't understand the difference between the two quotes.,neutral,,medium,,,,
candidate_0014,data/signal_engine_2_0/emotion_benchmark/sample_emotion_cases.jsonl,unknown,"Thanks, the replacement order arrived this morning and I'm happy with how quickly your team solved it.",neutral,,medium,,,,
