id,source_file,domain,text,suggested_label,suggested_evidence_terms,priority_reason,reviewer_label,reviewer_confidence,reviewer_notes,accepted
candidate_0046,data/signal_engine_2_0/fixtures/support_tickets_realistic.jsonl,support,so please check the help center article for now while we wait for their response.,uncertainty_hedging,for now,uncertainty coverage; local transcript-side source; known business domain; short readable snippet; strong evidence terms; explicit hedge cue; label-text match looks plausible,,,,
candidate_0029,data/signal_engine_2_0/fixtures/account_management_realistic.jsonl,account_management,I own the recovery plan and will send named owners this afternoon with a renewal review for next Tuesday.,opportunity_commitment,send; i own; recovery plan; renewal review,commitment coverage; local transcript-side source; known business domain; short readable snippet; strong evidence terms; concrete commitment wording; label-text match looks plausible,,,,
candidate_0057,data/signal_engine_2_0/sample_account_management.json,account_management,I own the action items and will send a recovery plan by Friday with owners for each open item.,opportunity_commitment,send; action items; i own; recovery plan,commitment coverage; local transcript-side source; known business domain; short readable snippet; strong evidence terms; concrete commitment wording; label-text match looks plausible,,,,
candidate_0073,data/signal_engine_2_0/sample_sales.json,sales,"I can send a pilot plan, pricing options, and a proposal by Tuesday, and I can include the security packet for procurement.",opportunity_commitment,pilot; procurement; proposal; pilot plan; pricing options; send,commitment coverage; local transcript-side source; known business domain; compact snippet; strong evidence terms; concrete commitment wording; label-text match looks plausible,,,,
candidate_0074,data/signal_engine_2_0/sample_sales.json,sales,"I can send a pilot plan, pricing options",opportunity_commitment,pilot; pilot plan; pricing options; send,commitment coverage; local transcript-side source; known business domain; short readable snippet; strong evidence terms; label-text match looks plausible,,,,
candidate_0030,data/signal_engine_2_0/fixtures/account_management_realistic.jsonl,account_management,"If the recovery plan lands and the integrations are fixed, we may still expand analytics seats later this quarter.",opportunity_commitment,fixed; expand; recovery plan,commitment coverage; local transcript-side source; known business domain; short readable snippet; strong evidence terms; label-text match looks plausible,,,,
candidate_0060,data/signal_engine_2_0/sample_account_management.json,account_management,I'll confirm owners today and schedule a renewal review next week so we can decide whether expansion is still realistic.,opportunity_commitment,schedule; expansion; renewal review,commitment coverage; local transcript-side source; known business domain; short readable snippet; strong evidence terms; label-text match looks plausible,,,,
candidate_0075,data/signal_engine_2_0/sample_sales.json,sales,and a proposal by Tuesday,opportunity_commitment,proposal,commitment coverage; local transcript-side source; known business domain; compact snippet; strong evidence terms; concrete commitment wording; label-text match looks plausible,,,,
candidate_0076,data/signal_engine_2_0/sample_sales.json,sales,and I can include the security packet for procurement.,opportunity_commitment,procurement,commitment coverage; local transcript-side source; known business domain; short readable snippet; strong evidence terms; label-text match looks plausible,,,,
candidate_0228,demo/signal_engine_2_0/sales_demo_output.json,sales,"I can send a pilot plan, pricing options, and a proposal by Tuesday, and I can include the security packet for pr...",opportunity_commitment,pilot; proposal; pilot plan; pricing options; send,commitment coverage; local transcript-side source; known business domain; compact snippet; strong evidence terms; concrete commitment wording; label-text match looks plausible; truncated snippet,,,,
candidate_0015,data/signal_engine_2_0/emotion_benchmark/sample_emotion_cases.jsonl,unknown,Thank you for the recovery plan.,opportunity_commitment,recovery plan,commitment coverage; local transcript-side source; short readable snippet; strong evidence terms; label-text match looks plausible,,,,
