candidate_id,case_id,ticker,fiscal_period,suggested_label,retrieval_object_id,retrieval_object_type,retrieval_priority,evidence_object_id,chunk_id,source_sha256,normalized_transcript_hash,provenance_hash,raw_text_returned
sha256:36873c635c11003a4f70fa068,jpm_2024_q3,JPM,2024 Q3,analyst_pressure,evidence_cd3ccbd971c33aee,evidence_object,1,evidence_cd3ccbd971c33aee,chunk_98cfac4850a97029,sha256:23979f93ec4f88a7a31d13e23bc4c0aa3e7d7f9e02300c4a6fba0ef0043444e0,sha256:ef8079d89554b1ecb4abc2c35c074435ae9c15048a05a2f48194422f0009cdc0,sha256:e4a84c5368ab77fc6f7f68b1bbfff3c80a4d14dd74bb31f52ebb6606e581530f,false
sha256:bc2d33c456eac4181cacdedff,jpm_2024_q4,JPM,2024 Q4,analyst_pressure,evidence_ae1db0e6bd5772ca,evidence_object,1,evidence_ae1db0e6bd5772ca,chunk_9bf716a42deb477c,sha256:391b4dff8f71c53e61a8a61148a966c796289bb79a180d40ea1c707299a4a3ec,sha256:83a985d507183b95b317ab4a22fc09c2ba0780ab01a2d88765a1ce33f987dd48,sha256:2db0ed85c57903b19e5733c9ff97b240ddb694ce3359c21d10636641d2ee1375,false
sha256:52278bf12dadace260d107fa9,jpm_2025_q1,JPM,2025 Q1,analyst_pressure,evidence_bad98f0637801ba8,evidence_object,1,evidence_bad98f0637801ba8,chunk_06f9f3ff1066277c,sha256:4443844be1c36e8aa3826e7713da962087469b319aad806800526919906d3967,sha256:cac2b59a92287f9dc606ff9d040470b3c7e8b0abab28950ed9f11f0f23e396a4,sha256:d2bfe6e04bb0db8355138dd59939a94ab2b86ec12015a4c5db929f7d08cff68b,false
sha256:acc4398049e29969397b4eda7,jpm_2025_q2,JPM,2025 Q2,analyst_pressure,evidence_a68bfad97ab39bed,evidence_object,1,evidence_a68bfad97ab39bed,chunk_36b6ca5bfff410a0,sha256:e126c41a79d11ac4edb3e422042198d10962a2a0c7c7036704544fb826bcbbba,sha256:f26723b03dec27890010ff4b9edf2d2b4be1300b4aecd1e4b3b28205eebd22d3,sha256:2291e873eaabaa8adc19bc66d838d1ab73f569b3eb4c386ddb5a542ba1c7e1cf,false
sha256:8d4b06af9cee3b0b406e67fe8,jpm_2025_q3,JPM,2025 Q3,analyst_pressure,evidence_17e01b91161a042f,evidence_object,1,evidence_17e01b91161a042f,chunk_aadb724d54431b44,sha256:785605abf40743a5f4d14c36a363ea22afc8f3fdfe1e59fe3c5b8b225db50737,sha256:5c8c3d23ba64f0199ef5d6225ed064d816ee9455edd8fb4bd0f9e4b7ffabc706,sha256:b92ea0b220ca14eab5269bd9f90c1c9c869a866ba37541148aad962883a9ae48,false
sha256:31a27048dfbe326d0df60e76e,jpm_2025_q4,JPM,2025 Q4,analyst_pressure,evidence_d3fa6c14db04207c,evidence_object,1,evidence_d3fa6c14db04207c,chunk_9a676069575c6293,sha256:624b4bf0fe79bdd4e1cb7361b1bb3992d06272ce9c40f6fe29394e6a4963ffae,sha256:b675db7410ea2ad842267d3b8782588a3cb1b15831d9a4785605dcebbc0e4d7b,sha256:b925ce54aa3fdb68537306fe720092f9dd57954ce0748b58d63c8850b09791cc,false
sha256:588b2d45301914dbdb54366b7,uber_2025_q4,UBER,2025 Q4,guidance_statement,evidence_17020d04546c68a7,evidence_object,1,evidence_17020d04546c68a7,chunk_8acf1b5bbc29e11c,sha256:6d61865b7ff6aa5629a76f8b6320124b12d83ebc8bf6dbc208398d9e5c9d31ed,sha256:826f5a749a69f1db4c04244f4e2263934fcf097de5b9447b7bd8d7e0fded0ea9,sha256:3772245ab8394af2ea82f03e48c1e63426ab36a21d90b68f666a4844d08ed352,false
sha256:bb4ce4a3a0b3644be49361a53,uber_2025_q4,UBER,2025 Q4,guidance_statement,evidence_18dfc5ca3b97cf95,evidence_object,1,evidence_18dfc5ca3b97cf95,chunk_743107444e128b8a,sha256:6d61865b7ff6aa5629a76f8b6320124b12d83ebc8bf6dbc208398d9e5c9d31ed,sha256:826f5a749a69f1db4c04244f4e2263934fcf097de5b9447b7bd8d7e0fded0ea9,sha256:18dcbb72c542bf19b99738b7c89624e75094ddb7b5b502e929e621a975cee395,false
sha256:b7dc5bd8dafc282382debb795,uber_2025_q4,UBER,2025 Q4,guidance_revision,evidence_303d813dc7b35ca7,evidence_object,1,evidence_303d813dc7b35ca7,chunk_e801bc0d3ab60724,sha256:6d61865b7ff6aa5629a76f8b6320124b12d83ebc8bf6dbc208398d9e5c9d31ed,sha256:826f5a749a69f1db4c04244f4e2263934fcf097de5b9447b7bd8d7e0fded0ea9,sha256:7f97b499b6fb82ab224c17e6623fbef7880a3fbf2385c9d2c3cf2d3c81923e17,false
sha256:73acfb099b67714f2212c0e14,uber_2025_q4,UBER,2025 Q4,neutral/no_signal,evidence_35f22d0bbef51ffd,evidence_object,1,evidence_35f22d0bbef51ffd,chunk_5a4e898ec3462ed4,sha256:6d61865b7ff6aa5629a76f8b6320124b12d83ebc8bf6dbc208398d9e5c9d31ed,sha256:826f5a749a69f1db4c04244f4e2263934fcf097de5b9447b7bd8d7e0fded0ea9,sha256:276506769c1954cfd6c84529fc7018b22f356609fef757748228a9c11a65631c,false
sha256:e3b78764f1e6a8b4e35983ff2,uber_2025_q4,UBER,2025 Q4,guidance_statement,evidence_48278f5ca4683511,evidence_object,1,evidence_48278f5ca4683511,chunk_3b9ce25bb324ab99,sha256:6d61865b7ff6aa5629a76f8b6320124b12d83ebc8bf6dbc208398d9e5c9d31ed,sha256:826f5a749a69f1db4c04244f4e2263934fcf097de5b9447b7bd8d7e0fded0ea9,sha256:4087f2140e351370e83cc6be55bf7292f146fcef91055f7dabb1c3834a669098,false
sha256:1e751763d10b07237ffdba9e7,uber_2025_q4,UBER,2025 Q4,guidance_statement,evidence_8d1cdc58a126bbcf,evidence_object,1,evidence_8d1cdc58a126bbcf,chunk_a3d54111eb72172d,sha256:6d61865b7ff6aa5629a76f8b6320124b12d83ebc8bf6dbc208398d9e5c9d31ed,sha256:826f5a749a69f1db4c04244f4e2263934fcf097de5b9447b7bd8d7e0fded0ea9,sha256:7dd7b96058cc8cb911973b5e97cf69927a24d85e9a3c737597c4c568af417feb,false
sha256:3a72ec6741a7d7e08382f6fb8,uber_2025_q4,UBER,2025 Q4,guidance_statement,evidence_9b67784151279366,evidence_object,1,evidence_9b67784151279366,chunk_266c083427448329,sha256:6d61865b7ff6aa5629a76f8b6320124b12d83ebc8bf6dbc208398d9e5c9d31ed,sha256:826f5a749a69f1db4c04244f4e2263934fcf097de5b9447b7bd8d7e0fded0ea9,sha256:a2dc2614fcc7052777ce3874992b941ca49cfc32a555930b5ac242eac51b28e3,false
sha256:d2488ae4a4a118a0920d938fb,uber_2025_q4,UBER,2025 Q4,guidance_statement,evidence_b9172e9ade76fd1f,evidence_object,1,evidence_b9172e9ade76fd1f,chunk_da95a92a3fd3bd3e,sha256:6d61865b7ff6aa5629a76f8b6320124b12d83ebc8bf6dbc208398d9e5c9d31ed,sha256:826f5a749a69f1db4c04244f4e2263934fcf097de5b9447b7bd8d7e0fded0ea9,sha256:8df1e3508fe9efa4ca39dd211c178f8c0ce20ad1c0e99b6865e99b2443d59a31,false
sha256:744915300aff78f18da528809,bac_2025_q4,BAC,2025 Q4,neutral/no_signal,sha256:e310c11e0f0e45401fd6fb4be,event_aligned_chunk,2,,chunk_80b1bfb135d3c002,sha256:3f68b8abe347f2eddb1a70e836eee558d4d39e41871c1773daf4cee7752e58da,sha256:bdaaaa1ad7c3a4f1a3b35b36e96fe0d24ce0eed1e7491cd5becadc2d301f903f,sha256:1f6d444daa94650e853be9fb8511e8e38cf5dde0035191bc6eba905db9693b59,false
sha256:4cab278c8a19bd0af467486cf,f_2025_q1,F,2025 Q1,management_hedging,sha256:051d48f1b4ad7c0687e53f9e4,event_aligned_chunk,2,,chunk_ce5ae796123f6b93,sha256:34cfd9da1094797400fddc5cba2ba0045e3d1920723ebbd7b4628c0d07ecf32f,sha256:ef362fc48eadfe886b4476ebd1930dab8ee0dccc73146ce53503da6c2ba271a9,sha256:5d37b26aa9b4db4917af1c0bd86f3ba9b02f0370fdb86dd78e56f185b42e95e9,false
sha256:961b96c98f3d5b598cdca8bad,f_2025_q1,F,2025 Q1,guidance_statement,sha256:057ebe675051de5b6aa147d88,event_aligned_chunk,2,,chunk_9b4ade2607aaefb1,sha256:34cfd9da1094797400fddc5cba2ba0045e3d1920723ebbd7b4628c0d07ecf32f,sha256:ef362fc48eadfe886b4476ebd1930dab8ee0dccc73146ce53503da6c2ba271a9,sha256:495b6130e112478fcb3d33e9a0b2fcf00650fa6c61fad7b4173c7a66df6db88d,false
sha256:45886537aa607cfa37106198f,f_2025_q1,F,2025 Q1,guidance_statement,sha256:3e522b42086c512f0544c2358,event_aligned_chunk,2,,chunk_639d047f6bc53757,sha256:34cfd9da1094797400fddc5cba2ba0045e3d1920723ebbd7b4628c0d07ecf32f,sha256:ef362fc48eadfe886b4476ebd1930dab8ee0dccc73146ce53503da6c2ba271a9,sha256:b404cea4b4714284b154e58db0ae68ddd568842ba956a499ad05f71f306484ed,false
sha256:3ffaac9999a4b7c0a5cff6ffb,jpm_2024_q1,JPM,2024 Q1,uncertainty,sha256:291281dd42272e36fc8e2e211,event_aligned_chunk,2,,chunk_ff07046c90486701,sha256:4ecc3387f5c6a8c23276665573381fdef37b403f0c73d864b0fd79b285cf79d7,sha256:fb1944d651d375dbb7832b50a5cbf6dead50ab02a0f10edc647b350d9c3a6f08,sha256:a53a333b6f753d2f65a1d6d94f103937f6e33d25ac9aaac53318ab41fede5626,false
sha256:ecb99bca7c512010928cf01c5,jpm_2024_q1,JPM,2024 Q1,guidance_statement,sha256:6d59ba5c4ed3b126b59f33522,event_aligned_chunk,2,,chunk_47355238016183b3,sha256:4ecc3387f5c6a8c23276665573381fdef37b403f0c73d864b0fd79b285cf79d7,sha256:fb1944d651d375dbb7832b50a5cbf6dead50ab02a0f10edc647b350d9c3a6f08,sha256:08cee2003e59c9e9257d6f083c7fc101780b01bc72bf26cc2a76ef7ace15413f,false
sha256:a662885c488b27104fb33ac70,jpm_2024_q1,JPM,2024 Q1,guidance_statement,sha256:84dc08ac7b740e1c69b600615,event_aligned_chunk,2,,chunk_2beb3e824425184b,sha256:4ecc3387f5c6a8c23276665573381fdef37b403f0c73d864b0fd79b285cf79d7,sha256:fb1944d651d375dbb7832b50a5cbf6dead50ab02a0f10edc647b350d9c3a6f08,sha256:c127a87593d585d3116f0dfdde690c7dff872cae4ee506d5386475a8cb9882ff,false
sha256:264465e0c3850264572b75c89,jpm_2024_q1,JPM,2024 Q1,guidance_statement,sha256:a5deee2ed960a00ba87518e03,event_aligned_chunk,2,,chunk_3269e1a6503e4e30,sha256:4ecc3387f5c6a8c23276665573381fdef37b403f0c73d864b0fd79b285cf79d7,sha256:fb1944d651d375dbb7832b50a5cbf6dead50ab02a0f10edc647b350d9c3a6f08,sha256:b91508dce3b08575d27aca19758396598e3cab9166b601aee4a8b080e2bdda3b,false
sha256:fb6c51fcb120e646dcfd2a1d1,jpm_2024_q1,JPM,2024 Q1,guidance_statement,sha256:c54f10295f2826b18ca045375,event_aligned_chunk,2,,chunk_846b914c9a8700b0,sha256:4ecc3387f5c6a8c23276665573381fdef37b403f0c73d864b0fd79b285cf79d7,sha256:fb1944d651d375dbb7832b50a5cbf6dead50ab02a0f10edc647b350d9c3a6f08,sha256:215fd75e43ad8085cfa79e009286248dc8eee678bb883cec45255826224091ea,false
sha256:6f922b4cb710aa656b8229403,jpm_2024_q2,JPM,2024 Q2,neutral/no_signal,sha256:5dd8d09f26ed40b25aa51bc03,event_aligned_chunk,2,,chunk_2e63d1dac61177da,sha256:da03ff9709cda967dc85fec54235bd1a2f97682fa5b3b236e084bbdcf8151585,sha256:4fbf0ef593a6b1b822fa118d6b245f0b184ab7f65f7d090e943f427016c5e647,sha256:0715133960ac141e13c5de283899299e585d9fa7e9fd69f5fe4f87980319b68d,false
sha256:2db5951b10a4d52c5aa66b6aa,jpm_2024_q3,JPM,2024 Q3,neutral/no_signal,sha256:c0b2ce6ee6bcf9c99dfaf087d,event_aligned_chunk,2,,chunk_98cfac4850a97029,sha256:23979f93ec4f88a7a31d13e23bc4c0aa3e7d7f9e02300c4a6fba0ef0043444e0,sha256:ef8079d89554b1ecb4abc2c35c074435ae9c15048a05a2f48194422f0009cdc0,sha256:8c3d06b3dac504c8299df7facb75136837c1f3ee9db7e169e5ba714c8fba9f9f,false
sha256:e7926e74fcd11e455b3f12629,jpm_2024_q4,JPM,2024 Q4,neutral/no_signal,sha256:2b3fdadd69074153b52b1902d,event_aligned_chunk,2,,chunk_9bf716a42deb477c,sha256:391b4dff8f71c53e61a8a61148a966c796289bb79a180d40ea1c707299a4a3ec,sha256:83a985d507183b95b317ab4a22fc09c2ba0780ab01a2d88765a1ce33f987dd48,sha256:3fec0e8cf385e9d74fe3a7182b0fbe0ba5890898258da9fdb33ad70f6048a886,false
sha256:ef9ed7be9088e6e4311c4a9b8,jpm_2025_q1,JPM,2025 Q1,neutral/no_signal,sha256:47b31264400439349d138e8ac,event_aligned_chunk,2,,chunk_06f9f3ff1066277c,sha256:4443844be1c36e8aa3826e7713da962087469b319aad806800526919906d3967,sha256:cac2b59a92287f9dc606ff9d040470b3c7e8b0abab28950ed9f11f0f23e396a4,sha256:c526b33fda21cc4f6e0a95c668995155e1c5a043d5b0612bef49b5ba86e234d8,false
sha256:d818836c3e7e94a76181d3898,jpm_2025_q2,JPM,2025 Q2,neutral/no_signal,sha256:552116dd1feba1fb7373ece60,event_aligned_chunk,2,,chunk_36b6ca5bfff410a0,sha256:e126c41a79d11ac4edb3e422042198d10962a2a0c7c7036704544fb826bcbbba,sha256:f26723b03dec27890010ff4b9edf2d2b4be1300b4aecd1e4b3b28205eebd22d3,sha256:a51f32347a155c538c87f065f37aafeac520e396577700607c806f684ca73ddd,false
sha256:1814b0ed5620147a66fe472d1,jpm_2025_q3,JPM,2025 Q3,neutral/no_signal,sha256:065639bcce79c0f94fc168a35,event_aligned_chunk,2,,chunk_aadb724d54431b44,sha256:785605abf40743a5f4d14c36a363ea22afc8f3fdfe1e59fe3c5b8b225db50737,sha256:5c8c3d23ba64f0199ef5d6225ed064d816ee9455edd8fb4bd0f9e4b7ffabc706,sha256:0a1de73c06789f1e48152c88582ca2f7dc4ebf41d05d1794170999908c87b025,false
sha256:3cf99416aef5ff4f5c5106243,jpm_2025_q4,JPM,2025 Q4,neutral/no_signal,sha256:115bbba00cb5fcd7f0362e836,event_aligned_chunk,2,,chunk_9a676069575c6293,sha256:624b4bf0fe79bdd4e1cb7361b1bb3992d06272ce9c40f6fe29394e6a4963ffae,sha256:b675db7410ea2ad842267d3b8782588a3cb1b15831d9a4785605dcebbc0e4d7b,sha256:13b3f41b1e7cdf1ccdcd5ecbf51a5e88c63ea9c27d3556e4daa97da78ee889e3,false
sha256:f88bebcd6f230f1ff1bcba04f,uber_2025_q4,UBER,2025 Q4,guidance_statement,sha256:2517b570f96b5ed0c0c9ccaee,event_aligned_chunk,2,,chunk_266c083427448329,sha256:6d61865b7ff6aa5629a76f8b6320124b12d83ebc8bf6dbc208398d9e5c9d31ed,sha256:826f5a749a69f1db4c04244f4e2263934fcf097de5b9447b7bd8d7e0fded0ea9,sha256:f3c010afebd9de9103a60df9331c4ea31502e11bdb5f6767f0f9cb098b625219,false
sha256:bffe713abd38dc358c496cdfb,uber_2025_q4,UBER,2025 Q4,guidance_statement,sha256:32b56dc0c3482a4066559edb5,event_aligned_chunk,2,,chunk_8acf1b5bbc29e11c,sha256:6d61865b7ff6aa5629a76f8b6320124b12d83ebc8bf6dbc208398d9e5c9d31ed,sha256:826f5a749a69f1db4c04244f4e2263934fcf097de5b9447b7bd8d7e0fded0ea9,sha256:22a597ebcf995567276d0a695c282973caa3073a6af4e9d474df08666a7195a7,false
sha256:6f6ea8782ccd49eb9ee4136c4,uber_2025_q4,UBER,2025 Q4,guidance_revision,sha256:f482e08a874dc0585de5961cd,event_aligned_chunk,2,,chunk_e801bc0d3ab60724,sha256:6d61865b7ff6aa5629a76f8b6320124b12d83ebc8bf6dbc208398d9e5c9d31ed,sha256:826f5a749a69f1db4c04244f4e2263934fcf097de5b9447b7bd8d7e0fded0ea9,sha256:374d709d65faed520621032e9dd52a31dc871f92c61e211d8ba6a3adad70a601,false
sha256:d34405f119a973298a63bdb96,uber_2025_q4,UBER,2025 Q4,neutral/no_signal,sha256:f5be8663706f75404adaf9516,event_aligned_chunk,2,,chunk_5a4e898ec3462ed4,sha256:6d61865b7ff6aa5629a76f8b6320124b12d83ebc8bf6dbc208398d9e5c9d31ed,sha256:826f5a749a69f1db4c04244f4e2263934fcf097de5b9447b7bd8d7e0fded0ea9,sha256:676d57c711b94ad1cd067dcfd6c440277ce6dd3a6a480c799df441b1bf1b469f,false
sha256:63d6853c837a88afd9221d307,bac_2025_q4,BAC,2025 Q4,neutral/no_signal,sha256:147d579877457bf4d4b480e22,semantic_chunk,3,,chunk_d48251db0608b693,sha256:3f68b8abe347f2eddb1a70e836eee558d4d39e41871c1773daf4cee7752e58da,sha256:bdaaaa1ad7c3a4f1a3b35b36e96fe0d24ce0eed1e7491cd5becadc2d301f903f,sha256:d5eeeeff1d6030b161500ee7dfd14aa1b5f32c1123cc2afa8dcf2e0c6143fa73,false
sha256:d6f455336410f9121893e6588,cat_2025_q2,CAT,2025 Q2,neutral/no_signal,sha256:0651d7df2b3ee6733dd87672a,semantic_chunk,3,,chunk_f3d1548af31f33b3,sha256:245d279780d60d7505e1ba4dfb9f31ceba34f28722aa4577aa085c31148f850a,sha256:c9f976f13460eacb26e5c22feaccfdb3bf63b8ef4b1cb345f4fd00c97a2f7af6,sha256:6dd8874918bdb5630c8170967048a62299383ba43f3427a32dfec7e76280941a,false
sha256:bbe9994b1541414e2e4be9fa4,f_2025_q2,F,2025 Q2,neutral/no_signal,sha256:102f87d9025ded1198baf6814,semantic_chunk,3,,chunk_ff36f35f76775743,sha256:662151de52eb9e609340c9fd5d3be599b04744074ddd4639e58d33d76ac5ff33,sha256:8f1a9695d41a365f15799204ece0919eba88660dae4215933a1b77f974d0fd2b,sha256:b50fcb8b0c9594a1cee69bf032393b9ad8d47d0c839473f2c81b4989e9dff229,false
sha256:14d7de0ef022f19cde5b379f9,f_2025_q3,F,2025 Q3,neutral/no_signal,sha256:05ad9e058379f2ff0ac633802,semantic_chunk,3,,chunk_22989a3465394d83,sha256:5b3393c074a51daa3637666422a20f61de9eff73d1bbacbf1802cc00b6f89b18,sha256:863d2faae86b94e2d80a6e0e483514f50823959cd02abd2ddc026acb4b6dcaea,sha256:9eb85574a3eb846ed85b325678f69a164d269476fccf5be09fd6fab95a500161,false
sha256:4d2fb5ccfbd59443bb87cabd9,hd_2024_q1,HD,2024 Q1,neutral/no_signal,sha256:03ddcb1f5429964aa6f3ec8d2,semantic_chunk,3,,chunk_2c821e5dcd341f43,sha256:b48b9ec8389b99458d711c7cba456aea95e5c70498700269b2aa04a90f8283ac,sha256:5c2a7c417b3bce31569d7afbef2336185cc0d09592553cab16002a6f39475428,sha256:dc3aed96be1d758b315a000ba0923e8e213e10385b68eb83337982802dd42646,false
sha256:e912e1dd954c3eecdc8070560,hd_2024_q2,HD,2024 Q2,neutral/no_signal,sha256:00dba2a5f48a154eb567d11b3,semantic_chunk,3,,chunk_940c0cd58fd4c302,sha256:3174638eac245995333789f2ecd92998ac55a9d590e6d5e13130d784923b04bf,sha256:7bf93f4dd4bf928ab5b77b112bd349d0f67a05a36747b9a4ccecccd8ecf4fb5b,sha256:dcb358ad4e4674ed4eaa2f9fbdfe18442494895469805f8aab07fbc11241919b,false
sha256:60c9067d074e5354c926d0336,hd_2024_q3,HD,2024 Q3,neutral/no_signal,sha256:4039412d46454d67c813f038b,semantic_chunk,3,,chunk_d04ac8d8bc9a9815,sha256:7615358920d80acfbd3262943496d8570827676fe39d2c38aecdf4e7ba2d2fc6,sha256:e8e45598dae822f29006156b2a47b06a43f1c62013e129cede330b85f4220ffc,sha256:bff0b4236e80b41221a91b7c826bfccbc3dec73c47fc9885a3c67da92f70a377,false
sha256:315e8ccec9dd3b5e54f6931a3,hd_2025_q4,HD,2025 Q4,neutral/no_signal,sha256:070a92c3a9c11a0c940affd16,semantic_chunk,3,,chunk_b5167413768c27db,sha256:9930b485a5fbe82794b52fe951d036f7a1429abea2711921530b79ed8746ca8a,sha256:9a4ba3adec57821de9a9281ab6acb2b78fc240df55b3c4b5019ab772a034459e,sha256:a5ab23ab72edffa8c22f65636baa102e3716d762783fd0377c9556c218d2fc20,false
sha256:66c5ca3a99ac73739bd162c9f,jpm_2024_q2,JPM,2024 Q2,neutral/no_signal,sha256:0ead0fd82f22df21b7979d234,semantic_chunk,3,,chunk_fce620c88c68dba2,sha256:da03ff9709cda967dc85fec54235bd1a2f97682fa5b3b236e084bbdcf8151585,sha256:4fbf0ef593a6b1b822fa118d6b245f0b184ab7f65f7d090e943f427016c5e647,sha256:20162cae58ad17bb0df99ba885bc1a709383b154b9347079de104e91396eb6b6,false
sha256:f49a188e3ddb0c3c6641c744c,jpm_2024_q3,JPM,2024 Q3,neutral/no_signal,sha256:1b6bdb7ffa3a328273077ab20,semantic_chunk,3,,chunk_331b47e3e7a81fc5,sha256:23979f93ec4f88a7a31d13e23bc4c0aa3e7d7f9e02300c4a6fba0ef0043444e0,sha256:ef8079d89554b1ecb4abc2c35c074435ae9c15048a05a2f48194422f0009cdc0,sha256:9d6b1a803de63c25771ec902cdcc82aadb599ea6640d9e4e3d1bd6e2a2a0befc,false
sha256:87141c2fa360af7c281d7b09b,jpm_2024_q4,JPM,2024 Q4,neutral/no_signal,sha256:3ae29e9c933fae7c4802d74cb,semantic_chunk,3,,chunk_c732bde5ca0da109,sha256:391b4dff8f71c53e61a8a61148a966c796289bb79a180d40ea1c707299a4a3ec,sha256:83a985d507183b95b317ab4a22fc09c2ba0780ab01a2d88765a1ce33f987dd48,sha256:1577aea9046c956bb2c5ba5554d7a47bb4595dc901bfa951b61d4fd2cfd2b7a4,false
sha256:aad0d74e8b017131b6460b88e,jpm_2025_q1,JPM,2025 Q1,neutral/no_signal,sha256:088bbea7e171fe87b378c86a9,semantic_chunk,3,,chunk_59b633a884d57206,sha256:4443844be1c36e8aa3826e7713da962087469b319aad806800526919906d3967,sha256:cac2b59a92287f9dc606ff9d040470b3c7e8b0abab28950ed9f11f0f23e396a4,sha256:ef829090710536007ae043823de0ab0fbf73babd2d816e875d6c4bdfefd27118,false
